|         Mass|          Lum|
|       double|       double|
|             |             |
|         null|         null|
 84.9442249826 1.71956909108 
 84.6559485639 3.54058798448 
 84.2731012745 6.01888933675 
 83.8919853703 9.13864768344 
 83.4180133251 12.9319583103 
 83.0407644627 17.3654905286 
 82.5716016364  22.420232595 
 82.1050894811  28.151538461 
 81.6412130213 34.5467206221 
 81.1799573657 41.5696790479 
 80.6298891984 49.2078215878 
 80.1743473094 57.5854738081 
 79.5409092473 66.5122821106 
 79.0019471241 76.0717362414 
 78.4666369603 86.4370343313 
 77.8466911032 97.2543334296 
 77.2316432879  108.88908609 
 76.6214548162 120.921508447 
 75.9299975434 134.063799032 
 75.3300930588 154.087253447 
 74.6502894602  176.23338924 
 73.8928406186 199.591594423 
   73.22600726 226.045726842 
 72.4830100824 255.587210493 
  71.747551822 286.632708033 
 70.9391249047 325.155450524 
 70.2193318754 370.672223064 
 69.4281244186 420.489673054 
  68.568089228 480.137443914 
 67.7187076526 543.775492184 
 66.8798477218 602.875445724 
 66.0513790995 670.591488733 
   65.15929518 773.278088287 
 64.2792596649 897.549318458 
 63.3392954684 1031.60517838 
  62.413076494  1149.3576533 
 61.4307512978  1274.2749857 
  60.463887009 1303.82854119 
 59.5122402868 1247.43254292 
 58.5092336043 1405.84490439 
 57.4579852773 1417.40381994 
 56.4256249612 955.180281707 
  55.411813291 1185.68330696 
 54.2930318668 1694.40994656 
  53.257153782 2042.20611964 
 52.5974351623 2194.79532067 
