|         Mass|          Lum|
|       double|       double|
|             |             |
|         null|         null|
 105.829391547 5665.00854119 
 101.369081598 5026.66829612 
 96.8769533654 5236.74186141 
 92.4790387821 5455.59478117 
 88.0809296532 5674.29364159 
  83.607279952 5901.75950057 
  79.181194165 6138.34380147 
 74.7349282739 6384.41207599 
 70.2989468506  6629.4786163 
 65.8272195993 6883.95206965 
 61.4307512978 7148.19352168 
  57.004023679  7422.5779184 
 52.5378675061 7694.88248008 
 48.0935254932 7990.25160805 
 43.6773122466 8269.82736854 
 39.2196701696  8573.2141085 
 34.7807211639 8887.73088901 
 30.3587205526 9198.70909649 
 25.9051330253 9520.56830911 
 21.4874579287 9853.68924897 
  17.033316358 10198.4659595 
 12.5721469551 10538.0341518 
 8.10880194267 10906.7558212 
  4.0852672497  11233.054508 
