|            Name|       raStr|      decStr|amaj|amin|  PA|FWHM|  sizePC|    vlsr| nearDis|  farDis| kda|     dis|        Ref|
|            char|        char|        char|long|long|long|long|  double|  double|  double|  double|char|  double|       char|
|                |            |            |    |    |    |    |        |        |        |        |    |        |           |
|            null|        null|        null|null|null|null|null|    null|    null|    null|    null|null|    null|       null|
 G000.0335+0.2051 17h44m54.07s -28d48m02.2s   53   38   42   45     null     null     null     null null     null        null 
 G000.0355+0.2241 17h44m49.90s -28d47m20.4s   42   30  111   35     null     null     null     null null     null        null 
 G000.0474+0.1124 17h45m17.69s -28d50m13.6s   47   28   22   37     null     null     null     null null     null        null 
 G000.0693+0.2127 17h44m57.41s -28d45m58.0s   40   28  -20   33     null     null     null     null null     null        null 
 G000.0939-0.1096 17h46m16.30s -28d54m46.8s   34   25    3   29     null     null     null     null null     null        null 
 G000.1150-0.1399 17h46m26.40s -28d54m38.5s   49   23   61   34     null     null     null     null null     null        null 
 G000.1315-0.1299 17h46m26.40s -28d53m29.4s   24   20   36   22     null     null     null     null null     null        null 
 G000.2248+0.0731 17h45m52.20s -28d42m22.3s   37   21  151   28     null     null     null     null null     null        null 
 G000.2386+0.0090 17h46m09.14s -28d43m40.1s   55   44    4   49     null    44.44     null     null null     null      malt90 
 G000.2579+0.0182 17h46m09.74s -28d42m23.4s   97   36  126   59     null    41.05     null     null null     null      malt90 
 G000.2649+0.0356 17h46m06.67s -28d41m29.4s   46   34  140   40     null    28.45     null     null null     null      malt90 
 G000.2670-0.0845 17h46m35.06s -28d45m07.6s   34   27   20   30     null     null     null     null null     null        null 
 G000.2727-0.0636 17h46m30.96s -28d44m10.7s   56   44   12   50     null     null     null     null null     null        null 
 G000.2836+0.0389 17h46m08.57s -28d40m25.7s   26   26   88   26     null     null     null     null null     null        null 
 G000.2960+0.0438 17h46m09.17s -28d39m38.2s   36   31  131   34     null    17.39     null     null null     null      malt90 
 G000.3069-0.1547 17h46m57.17s -28d45m15.8s   42   25   72   33     null    19.70     null     null null     null Csengeri+14 
 G000.3149-0.0989 17h46m45.22s -28d43m07.0s   50   36   85   42     null    96.23     null     null null     null      malt90 
 G000.3173+0.0117 17h46m19.73s -28d39m32.8s   55   35   33   44     null     null     null     null null     null        null 
 G000.3322+0.0373 17h46m15.84s -28d37m59.2s   23   21  144   22     null     null     null     null null     null        null 
 G000.3404+0.0562 17h46m12.62s -28d36m58.3s   45   30  132   37     null     null     null     null null     null        null 
 G000.3550-0.0884 17h46m48.48s -28d40m44.4s   47   26   46   35     null     null     null     null null     null        null 
 G000.3659-0.0833 17h46m48.82s -28d40m00.8s   59   37   13   47     null     null     null     null null     null        null 
 G000.3806+0.0571 17h46m18.10s -28d34m53.4s   35   28  150   31     null     null     null     null null     null        null 
 G000.4688+0.0253 17h46m38.06s -28d31m21.4s   49   28  107   37     null     null     null     null null     null        null 
 G000.4766-0.0068 17h46m46.66s -28d31m57.7s   49   34   97   41     null    30.30     null     null null     null      malt90 
 G000.4940-0.1144 17h47m14.23s -28d34m24.6s   31   27  113   29     null     null     null     null null     null        null 
 G000.4942+0.0194 17h46m43.03s -28d30m14.4s   57   29  129   41     null    55.06     null     null null     null      malt90 
 G000.5041+0.1404 17h46m16.18s -28d25m57.4s   35   20   67   26     null     null     null     null null     null        null 
 G000.5136+0.1252 17h46m21.10s -28d25m56.6s   36   23   46   29     null     null     null     null null     null        null 
 G000.5151-0.1057 17h47m15.19s -28d33m03.6s   32   21   80   26     null    29.51     null     null null     null      malt90 
 G000.5184-0.6127 17h49m14.45s -28d48m35.6s   22   19   68   21     null     null     null     null null     null        null 
 G000.5351-0.6329 17h49m21.53s -28d48m21.6s   28   23  -16   26     null    17.14     null     null null     null      malt90 
 G000.5568-0.0289 17h47m03.17s -28d28m31.8s   41   25  102   32     null     null     null     null null     null        null 
 G000.5652+0.0229 17h46m52.25s -28d26m29.4s   74   32   81   49     null     null     null     null null     null        null 
 G000.6255-0.0956 17h47m28.46s -28d27m05.0s   38   25  102   31     null     null     null     null null     null        null 
 G000.6840-0.1259 17h47m43.80s -28d25m01.2s   42   37   76   39     null   -49.50     null     null null     null  Purcell+12 
 G000.7193-0.0723 17h47m36.29s -28d21m32.4s   44   30  142   37     null     null     null     null null     null        null 
 G000.7341-0.1532 17h47m57.24s -28d23m17.5s   52   37   82   44     null     null     null     null null     null        null 
 G000.7352+0.0065 17h47m20.14s -28d18m16.6s   42   31  106   36     null     null     null     null null     null        null 
 G000.7352-0.0502 17h47m33.36s -28d20m02.4s   34   27  -24   30     null     null     null     null null     null        null 
 G000.8081+0.0263 17h47m25.80s -28d13m55.2s   56   43  132   49     null     null     null     null null     null        null 
 G000.8327-0.1986 17h48m21.74s -28d19m37.9s   62   32  123   44     null     null     null     null null     null        null 
 G000.8401-0.2383 17h48m32.04s -28d20m29.0s   60   28  104   41     null     null     null     null null     null        null 
 G000.8421+0.0159 17h47m33.00s -28d12m29.9s   54   33   50   42     null     null     null     null null     null        null 
 G000.8462-0.0019 17h47m37.75s -28d12m50.0s   51   22   43   33     null     null     null     null null     null        null 
 G000.8467-0.0292 17h47m44.18s -28d13m39.7s   67   44   53   55     null    90.59     null     null null     null      malt90 
 G000.8511-0.1811 17h48m20.23s -28d18m08.6s   44   30   99   36     null     null     null     null null     null        null 
 G000.8574-0.0935 17h48m00.67s -28d15m06.5s   40   31   91   35     null     null     null     null null     null        null 
 G000.8785-0.1929 17h48m26.86s -28d17m06.0s   44   30   32   37     null     null     null     null null     null        null 
 G000.9029-0.0258 17h47m51.31s -28d10m40.1s   47   24   45   33     null     null     null     null null     null        null 
 G000.9056+0.1140 17h47m19.13s -28d06m11.5s   60   38   78   48     null     null     null     null null     null        null 
 G000.9295+0.0041 17h47m48.10s -28d08m22.6s   64   29   -3   43     null     null     null     null null     null        null 
 G001.0438-0.1262 17h48m34.51s -28d06m32.4s   37   34   56   35     null     null     null     null null     null        null 
 G001.0652-0.1338 17h48m39.29s -28d05m40.6s   34   34   88   34     null     null     null     null null     null        null 
 G001.0891-0.0028 17h48m12.12s -28d00m23.4s   37   25   56   30     null     null     null     null null     null        null 
 G001.0940-0.0278 17h48m18.62s -28d00m54.7s   51   37    3   43     null     null     null     null null     null        null 
 G001.1295+0.0038 17h48m16.25s -27d58m06.6s   63   32  -27   45     null     null     null     null null     null        null 
 G001.1611-0.1117 17h48m47.57s -28d00m03.6s   38   31   50   34     null     null     null     null null     null        null 
 G001.1738+0.0936 17h48m01.58s -27d53m03.1s   38   31  146   34     null    36.30     null     null null     null  Purcell+12 
 G001.2013+0.0046 17h48m26.14s -27d54m23.8s   49   34  -10   41     null     null     null     null null     null        null 
 G001.2106+0.1020 17h48m04.80s -27d50m54.2s   72   30  116   47     null     null     null     null null     null        null 
 G001.2360-0.0558 17h48m45.05s -27d54m28.8s   46   31   19   38     null     null     null     null null     null        null 
 G001.2866+0.2941 17h47m30.84s -27d41m02.4s   36   34  122   35     null     null     null     null null     null        null 
 G001.2885+0.0346 17h48m31.37s -27d48m59.0s   39   39    6   39     null     null     null     null null     null        null 
 G001.2890+0.1464 17h48m05.47s -27d45m29.9s   33   28   29   31     null     null     null     null null     null        null 
 G001.2981+0.0310 17h48m33.55s -27d48m36.0s   33   23  153   27     null     null     null     null null     null        null 
 G001.3159-0.0466 17h48m54.07s -27d50m05.3s   36   34   99   35     null     null     null     null null     null        null 
 G001.3165-0.1432 17h49m16.66s -27d53m02.4s   42   31   -2   36     null     null     null     null null     null        null 
 G001.3214-0.0710 17h49m00.55s -27d50m33.7s   43   29   78   35     null     null     null     null null     null        null 
 G001.3810-0.2105 17h49m41.33s -27d51m48.2s   70   47  126   57     null     null     null     null null     null        null 
 G001.4536+0.2001 17h48m16.03s -27d35m22.6s   37   25  -35   30     null     null     null     null null     null        null 
 G001.4727+0.0399 17h48m55.87s -27d39m21.2s   51   49  159   50     null    94.43     null     null null     null      malt90 
 G001.4811+0.1983 17h48m20.30s -27d34m01.2s   43   38  -55   40     null     null     null     null null     null        null 
 G001.5229-0.1140 17h49m38.66s -27d41m31.2s   61   41   45   50     null    52.44     null     null null     null        null 
 G001.5979+0.0246 17h49m16.90s -27d33m23.0s   55   31  118   41     null  -192.30     null     null null     null  Purcell+12 
 G001.6359-0.0278 17h49m34.34s -27d33m02.5s   36   21   42   27     null     null     null     null null     null        null 
 G001.6387-0.1889 17h50m12.19s -27d37m52.0s   40   30   49   35     null     null     null     null null     null        null 
 G001.6486-0.0631 17h49m44.33s -27d33m28.8s   38   38   14   38     null   -35.10     null     null null     null  Purcell+12 
 G001.6627-0.1744 17h50m12.14s -27d36m10.8s   58   30  157   42     null     null     null     null null     null        null 
 G001.6662-0.1394 17h50m04.49s -27d34m55.6s   33   30  -15   32     null    52.16     null     null null     null      malt90 
 G001.6825-0.0911 17h49m55.54s -27d32m35.9s   36   26   24   31     null     null     null     null null     null        null 
 G001.6971-0.1706 17h50m16.03s -27d34m17.8s   80   23    2   43     null     null     null     null null     null        null 
 G001.7640-0.4096 17h51m20.90s -27d38m11.0s   36   27    4   31     null     null     null     null null     null        null 
 G002.4446-0.5447 17h53m26.02s -27d07m10.2s   37   25   99   31     null     null     null     null null     null        null 
 G002.9402+0.1305 17h51m57.55s -26d20m57.8s   45   34   43   39     null   145.10     null     null null     null      malt90 
