|            Name|       raStr|      decStr| amaj| amin|  pa_new| FWHM|    vlsr|  Dist_B| sigma_D|        Ref|Dark70|
|            char|        char|        char| long| long|  double| long|  double|  double|  double|       char|  char|
|                |            |            |     |     |        |     |        |        |        |           |      |
|            null|        null|        null| null| null|    null| null|    null|    null|    null|       null|  null|
 G001.1738+0.0936 17h48m01.58s -27d53m03.1s    38    31    177.1    34    36.30     8.35     0.26  Purcell+12      N 
 G001.2013+0.0046 17h48m26.14s -27d54m23.8s    49    34     21.1    41     null     null     null        null      N 
 G001.2106+0.1020 17h48m04.80s -27d50m54.2s    72    30    147.1    47     null     null     null        null      N 
 G001.2360-0.0558 17h48m45.05s -27d54m28.8s    46    31     50.0    38     null     null     null        null      Y 
 G001.2866+0.2941 17h47m30.84s -27d41m02.4s    36    34    153.2    35     null     null     null        null      Y 
 G001.2885+0.0346 17h48m31.37s -27d48m59.0s    39    39     37.1    39     null     null     null        null      Y 
 G001.2890+0.1464 17h48m05.47s -27d45m29.9s    33    28     60.1    31     null     null     null        null      Y 
 G001.2981+0.0310 17h48m33.55s -27d48m36.0s    33    23      4.1    27     null     null     null        null      Y 
 G001.3159-0.0466 17h48m54.07s -27d50m05.3s    36    34    130.0    35     null     null     null        null      Y 
 G001.3165-0.1432 17h49m16.66s -27d53m02.4s    42    31     29.0    36     null     null     null        null      Y 
 G001.3214-0.0710 17h49m00.55s -27d50m33.7s    43    29    109.0    35     null     null     null        null      N 
 G001.3810-0.2105 17h49m41.33s -27d51m48.2s    70    47    156.9    57     null     null     null        null      N 
 G001.4536+0.2001 17h48m16.03s -27d35m22.6s    37    25    176.1    30     null     null     null        null      N 
 G001.4727+0.0399 17h48m55.87s -27d39m21.2s    51    49     10.0    50    94.43    11.68     4.69      malt90      Y 
 G001.4811+0.1983 17h48m20.30s -27d34m01.2s    43    38    156.1    40     null     null     null        null      N 
 G001.5229-0.1140 17h49m38.66s -27d41m31.2s    61    41     75.9    50    52.44    10.68     0.24        null      N 
 G001.6359-0.0278 17h49m34.34s -27d33m02.5s    36    21     72.9    27     null     null     null        null      Y 
 G001.6387-0.1889 17h50m12.19s -27d37m52.0s    40    30     79.9    35     null     null     null        null      Y 
 G001.6627-0.1744 17h50m12.14s -27d36m10.8s    58    30      7.9    42     null     null     null        null      Y 
 G001.6662-0.1394 17h50m04.49s -27d34m55.6s    33    30     15.9    32    52.16     8.30     0.23      malt90      Y 
 G001.6825-0.0911 17h49m55.54s -27d32m35.9s    36    26     54.9    31     null     null     null        null      Y 
 G001.6971-0.1706 17h50m16.03s -27d34m17.8s    80    23     32.9    43     null     null     null        null      Y 
 G001.7640-0.4096 17h51m20.90s -27d38m11.0s    36    27     34.7    31     null     null     null        null      Y 
 G002.4446-0.5447 17h53m26.02s -27d07m10.2s    37    25    129.5    31     null     null     null        null      Y 
 G002.9402+0.1305 17h51m57.55s -26d20m57.8s    45    34     73.7    39   145.10    16.00     2.54      malt90      Y 
