|            Name|       raStr|      decStr| amaj| amin|  pa_new| FWHM|    vlsr|  Dist_B| sigma_D|        Ref|Dark70|
|            char|        char|        char| long| long|  double| long|  double|  double|  double|       char|  char|
|                |            |            |     |     |        |     |        |        |        |           |      |
|            null|        null|        null| null| null|    null| null|    null|    null|    null|       null|  null|
 G033.1345-0.0221 18h51m53.18s   0d10m12.7s    32    22     55.1    26   102.80     6.54     0.51  Shirley+13      N 
 G033.2011+0.0194 18h51m51.60s   0d14m54.6s    33    20     78.1    25   101.20     6.50     0.52  Shirley+13      N 
 G033.4526-0.0810 18h52m40.58s   0d25m35.4s    37    28     24.1    32   109.20     6.55     0.48  Shirley+13      Y 
 G033.6218-0.0335 18h52m48.96s   0d35m55.3s    32    23    127.1    27   103.60     6.50     0.48  Shirley+13      Y 
 G034.7391-0.1197 18h55m09.70s   1d33m13.3s    32    27    143.1    29    78.98     4.77     0.40   Wienen+12      Y 
 G034.7798-0.5671 18h56m49.73s   1d23m08.9s    32    23     50.2    27    41.30     2.20     0.14  Shirley+13      Y 
 G035.2006-0.7253 18h58m09.65s   1d41m16.8s    23    20    158.2    21    33.87     2.19     0.13   Wienen+12      Y 
 G035.4440-0.0089 18h56m03.26s   2d13m53.4s    30    25     77.2    28    94.90     5.83     0.57  Shirley+13      Y 
 G043.1401-0.0592 19h10m25.66s   9d02m52.1s    24    21     71.5    23     5.90    11.54     0.40  Dempsey+14      N 
 G043.2256-0.0391 19h10m30.91s   9d07m58.1s    30    20     35.5    24     6.20    11.52     0.39 Csengeri+14      N 
 G045.4212+0.0838 19h14m12.31s  11d08m08.5s    33    20     78.7    25    55.50     7.96     0.36  Shirley+13      N 
 G045.5356+0.1411 19h14m12.89s  11d15m49.0s    29    28     29.7    28    58.60     7.84     0.39  Shirley+13      Y 
 G048.8905-0.2649 19h22m07.13s  14d02m20.8s    27    27    122.1    27    67.27     5.69     0.54 Csengeri+14      N 
 G049.0548-0.3340 19h22m41.38s  14d09m05.4s    32    20    103.1    25    65.24     5.82     0.66 Csengeri+14      N 
 G049.2527-0.4106 19h23m21.24s  14d17m23.3s    26    24     49.2    25    66.07     5.82     0.62   Wienen+12      N 
 G049.3228-0.3461 19h23m15.34s  14d22m55.2s    26    23    103.2    25    67.63     5.77     0.60 Csengeri+14      N 
 G049.3538-0.3538 19h23m20.66s  14d24m20.5s    46    30    119.2    37    67.59     5.77     0.60 Csengeri+14      Y 
 G049.4011-0.2263 19h22m58.32s  14d30m27.4s    43    31    111.2    36    50.79     5.02     0.87 Csengeri+14      N 
 G049.4134-0.3537 19h23m27.62s  14d27m29.9s    30    22     38.2    26    63.90     5.82     0.63  Shirley+13      N 
 G049.4739-0.2957 19h23m22.01s  14d32m20.4s    43    21    147.2    30    60.50     5.81     0.72  Shirley+13      N 
 G049.4909-0.2857 19h23m21.82s  14d33m31.3s    26    20     85.2    22    61.53     5.80     0.68 Csengeri+14      N 
 G049.5300-0.3478 19h23m39.96s  14d33m50.0s    37    29    160.2    33    57.78     5.79     0.82   Wienen+12      N 
 G305.0943+0.2510 13h10m12.74s -62d32m31.2s    60    20    109.8    34   -39.94     6.15     0.96 Csengeri+14      Y 
 G305.0955+0.0877 13h10m19.61s -62d42m17.3s    36    25    135.8    30   -34.47     6.79     0.89 Csengeri+14      Y 
 G305.1293-0.0271 13h10m41.76s -62d49m00.5s    29    21    148.7    25     null     null     null        null      Y 
 G305.1543+0.0477 13h10m51.86s -62d44m25.1s    33    26     29.7    29   -36.75     6.58     0.91 Csengeri+14      N 
 G305.1721+0.0079 13h11m02.78s -62d46m43.0s    26    20     38.6    22   -32.49     7.02     0.86 Csengeri+14      N 
 G305.2350-0.0231 13h11m36.96s -62d48m16.6s    53    26    103.5    38   -28.43     7.43     0.79 Csengeri+14      Y 
 G305.2581+0.3275 13h11m34.66s -62d27m11.9s    55    20    168.5    32   -39.31     6.22     0.94 Csengeri+14      Y 
 G305.2719-0.0309 13h11m56.57s -62d48m34.6s    34    20    151.4    26   -32.19     7.08     0.85 Csengeri+14      Y 
 G305.3187+0.3130 13h12m06.62s -62d27m46.8s    30    28    151.4    29   -40.26     6.15     0.95 Csengeri+14      N 
 G305.3834+0.2565 13h12m42.48s -62d30m50.8s    30    22     16.3    26   -36.50     6.60     0.91 Csengeri+14      N 
 G305.4126+0.2061 13h12m59.83s -62d33m42.8s    22    20     76.2    20   -38.49     6.44     0.93 Csengeri+14      Y 
 G305.5476-0.0559 13h14m22.01s -62d48m40.7s    31    23      8.9    26   -41.50     5.53     1.66 Csengeri+14      Y 
 G305.5890+0.4609 13h14m19.54s -62d17m34.1s    39    28      2.9    33   -36.54     6.47     0.96 Csengeri+14      N 
 G317.3645+0.1283 14h48m45.65s -59d24m55.4s    32    32     31.2    32   -44.21     9.49     0.54 Csengeri+14      N 
 G317.3887+0.1195 14h48m57.72s -59d24m45.7s    28    20    106.1    23   -41.20     9.69     0.53  Purcell+12      Y 
 G319.8307+0.7918 15h03m12.50s -57d41m26.9s    56    23     70.1    36     null     null     null        null      Y 
 G320.2512-0.1894 15h09m37.90s -58d20m09.2s    26    26     93.7    26   -11.42    12.08     0.53 Csengeri+14      Y 
 G320.2715+0.2920 15h07m56.06s -57d54m33.5s    33    21     44.0    26   -32.10    10.80     0.49  Jackson+08      Y 
 G320.3385-0.1534 15h10m04.01s -58d15m38.5s    24    20    120.6    22    -8.95    12.24     0.51  Urquhart14      Y 
 G326.2828-0.5924 15h47m43.22s -55d15m42.5s    38    29    135.8    33   -62.09     3.71     0.46 Csengeri+14      Y 
 G326.4923+0.8820 15h42m37.99s -53d58m02.6s    32    24    107.8    28   -39.30     2.46     0.45  Jackson+08      Y 
 G326.6950+0.5691 15h45m01.46s -54d05m33.4s    37    22     28.3    29   -41.96     2.65     0.45 Csengeri+14      N 
 G326.8051-0.1112 15h48m29.74s -54d33m37.4s    47    26      3.6    35   -55.93    10.61     0.46 Csengeri+14      Y 
 G326.8693+0.0720 15h48m03.53s -54d22m37.2s    48    21     76.7    32   -49.87    10.95     0.46 Csengeri+14      Y 
 G326.9980-0.0159 15h49m07.58s -54d21m56.9s    32    24    110.5    28   -58.75    10.49     0.46 Csengeri+14      Y 
 G327.0678-0.2901 15h50m40.85s -54d32m10.7s    62    24     73.2    38   -60.34    10.38     0.45 Csengeri+14      Y 
 G327.1177-0.2953 15h50m58.25s -54d30m32.4s    45    28     91.1    35   -59.12    10.45     0.45 Csengeri+14      Y 
 G327.2309-0.5041 15h52m29.09s -54d35m58.9s    40    32     21.8    36   -48.50     3.00     0.45 Csengeri+14      N 
 G327.2585-0.6051 15h53m04.44s -54d39m37.8s    24    20    142.7    21   -46.54     2.89     0.45 Csengeri+14      N 
 G328.1434-0.1092 15h55m34.56s -53d42m52.2s    29    20     80.2    24   -88.73     8.88     0.62 Csengeri+14      Y 
 G328.2075-0.5865 15h57m59.62s -54d02m18.2s    21    20     23.7    20   -42.59     2.70     0.45 Csengeri+14      N 
 G328.2188-0.5922 15h58m04.66s -54d02m07.4s    28    24     47.7    26   -44.06     2.77     0.45 Csengeri+14      N 
 G328.2959-0.5493 15h58m17.30s -53d57m10.1s    30    20     33.6    24   -41.83     2.66     0.45 Csengeri+14      N 
 G328.2972-0.5130 15h58m08.14s -53d55m27.1s    30    26    160.6    28   -43.83     2.77     0.45 Csengeri+14      Y 
 G328.2988-0.5242 15h58m11.57s -53d55m54.5s    28    23     65.6    26   -43.85     2.77     0.45 Csengeri+14      N 
 G328.3188+0.4516 15h54m04.66s -53d10m15.2s    23    20     42.5    21   -91.56     5.52     0.66 Csengeri+14      N 
 G328.3678-0.5589 15h58m42.17s -53d54m48.6s    48    20    144.5    30     null     null     null        null      N 
 G328.4197+0.5845 15h54m01.97s -53d00m14.8s    30    25      1.5    27  -100.88     6.58     1.17 Csengeri+14      Y 
 G329.2580-0.3135 16h02m09.46s -53d08m45.6s    34    27     58.8    30   -73.96     9.96     0.46 Csengeri+14      Y 
 G330.8521-0.3510 16h10m08.18s -52d06m29.9s    29    20     79.3    23   -62.57     3.80     0.42 Csengeri+14      N 
 G331.0288-0.4308 16h11m19.97s -52d02m48.1s    48    25     71.0    35   -64.20     3.88     0.43 Csengeri+14      Y 
 G331.0605-0.1660 16h10m18.91s -51d49m51.6s    42    24    113.2    32   -90.77     9.29     0.53 Csengeri+14      N 
 G331.2475-0.4493 16h12m27.14s -51d54m39.2s    56    23     26.8    36   -70.59     4.21     0.43 Csengeri+14      N 
 G332.4947-0.1215 16h16m47.40s -50d48m47.9s    31    30     57.0    30   -50.13    11.63     0.44 Csengeri+14      N 
 G332.5244-0.6283 16h19m10.32s -51d09m20.2s    33    21     91.5    26   -50.77     3.22     0.43 Csengeri+14      Y 
 G332.6826-0.0082 16h17m08.71s -50d36m04.3s    26    25     52.9    26   -97.38     9.12     0.56 Csengeri+14      Y 
 G332.7154-0.6756 16h20m15.00s -51d03m18.7s    39    23    133.3    30   -46.19     2.99     0.44 Csengeri+14      Y 
 G332.7393-0.6211 16h20m06.86s -50d59m58.6s    43    26     48.3    34   -50.44     3.21     0.43 Csengeri+14      Y 
 G332.7570-0.4666 16h19m30.34s -50d52m37.9s    34    30    171.5    32   -53.10     3.37     0.43 Csengeri+14      N 
 G332.8975-0.5488 16h20m30.31s -50d50m12.8s    26    20    166.3    22   -56.22     3.52     0.42 Csengeri+14      N 
 G333.0138-0.5339 16h20m57.65s -50d44m40.2s    38    27     16.2    32   -53.25     3.38     0.43 Csengeri+14      Y 
 G333.0142-0.5213 16h20m54.41s -50d44m07.1s    35    28     95.2    31   -53.25     3.38     0.43 Csengeri+14      Y 
 G333.0150-0.7511 16h21m56.28s -50d53m50.6s    36    30     51.0    33   -55.73     3.47     0.42 Csengeri+14      Y 
 G333.0151-0.4964 16h20m48.00s -50d43m01.2s    47    26    101.2    35   -56.42     3.54     0.42 Urquhart+07      N 
 G333.1639-0.4413 16h21m13.22s -50d34m22.4s    32    20     17.1    25   -52.57     3.36     0.43 Csengeri+14      N 
 G333.1700-0.4303 16h21m11.95s -50d33m39.2s    25    25     55.1    25   -50.77     3.27     0.43 Csengeri+14      N 
 G333.1797-0.3958 16h21m05.33s -50d31m46.6s    41    29     54.1    35   -50.54     3.26     0.43 Csengeri+14      N 
 G333.2418-0.5148 16h21m53.69s -50d34m12.0s    42    33     91.0    37   -48.86     3.17     0.43 Csengeri+14      N 
 G333.2770-0.4846 16h21m55.01s -50d31m25.3s    35    24     84.0    29   -55.62     3.51     0.42 Csengeri+14      N 
 G333.4489-0.1822 16h21m20.38s -50d11m17.9s    26    20    175.1    22   -43.95    12.04     0.45 Csengeri+14      Y 
 G333.4800-0.2243 16h21m39.82s -50d11m46.0s    34    24    132.0    28   -49.44    11.75     0.44 Csengeri+14      Y 
 G333.4826-0.2468 16h21m46.46s -50d12m36.7s    38    30    121.0    34   -50.40    11.69     0.44 Csengeri+14      Y 
 G333.4974-0.1154 16h21m15.62s -50d06m24.1s    31    23    133.1    27   -45.89    11.95     0.45 Csengeri+14      Y 
 G333.5081-0.2398 16h21m51.38s -50d11m13.9s    37    24     88.0    30   -49.10    11.76     0.44 Csengeri+14      Y 
 G333.5685+0.0292 16h20m56.35s -49d57m14.4s    38    26     61.2    31   -84.91     9.97     0.44 Csengeri+14      N 
 G333.6425+0.3764 16h19m45.07s -49d39m18.7s    26    26     40.4    26   -35.35     2.49     0.46 Csengeri+14      Y 
 G333.6563+0.0587 16h21m11.81s -49d52m16.3s    38    29     51.1    33   -84.20    10.01     0.44 Csengeri+14      N 
 G333.6688-0.3480 16h23m02.57s -50d08m59.3s    29    20    103.8    24   -47.98     3.15     0.43 Csengeri+14      N 
 G333.6708-0.3575 16h23m05.64s -50d09m17.6s    36    25    155.8    30   -47.98     3.15     0.43 Csengeri+14      N 
 G333.6827-0.2555 16h22m41.69s -50d04m28.6s    58    24    110.8    37   -48.12    11.83     0.44 Csengeri+14      N 
 G333.6987-0.2122 16h22m34.42s -50d01m58.1s    58    32     95.9    43   -47.27    11.88     0.44 Csengeri+14      N 
 G333.7656+0.3477 16h20m25.01s -49d35m20.8s    46    31     56.3    38   -33.30     2.38     0.46  Jackson+08      Y 
 G334.1747+0.0764 16h23m22.92s -49d29m29.8s    37    23    138.7    29     null     null     null        null      N 
 G335.5915+0.1836 16h28m55.70s -48d24m03.2s    38    28    166.7    33   -50.14    11.88     0.44 Csengeri+14      Y 
 G336.0895+0.0341 16h31m38.26s -48d08m30.8s    24    21     40.2    23     null     null     null        null      N 
 G336.4689-0.2023 16h34m13.27s -48d01m30.0s    47    22     61.7    32   -24.29    13.44     0.55 Csengeri+14      N 
 G336.7428+0.1078 16h33m58.22s -47d36m48.2s    36    28     68.7    32   -76.28    10.66     0.41      malt90      N 
 G336.8177+0.1268 16h34m11.30s -47d32m44.2s    32    24    157.7    28   -82.50    10.36     0.41 Csengeri+14      Y 
 G336.8315+0.1307 16h34m13.61s -47d31m57.7s    32    20     51.7    25   -79.92    10.48     0.41 Csengeri+14      N 
 G337.1617+0.1113 16h35m37.87s -47d18m09.4s    45    27    154.4    35   -73.89    10.80     0.40 Csengeri+14      Y 
 G337.2059-0.0742 16h36m37.03s -47d23m41.3s    38    20    106.2    27   -67.24    11.12     0.41 Csengeri+14      Y 
 G337.2860+0.0083 16h36m34.46s -47d16m48.0s    48    24     42.2    34  -105.80     9.12     0.56 Csengeri+14      Y 
 G337.3478-0.1584 16h37m32.90s -47d20m46.0s    21    20     16.1    21   -72.66    10.87     0.41 Csengeri+14      Y 
 G337.5371-0.1728 16h38m21.48s -47d12m54.0s    37    27    158.9    32     null     null     null        null      N 
 G337.5807-0.0807 16h38m07.58s -47d07m15.6s    33    21    130.0    27     null     null     null        null      N 
 G337.6682-0.0430 16h38m18.29s -47d01m50.9s    38    24    109.9    30     null     null     null        null      Y 
 G337.7207+0.0436 16h38m07.99s -46d56m01.7s    38    26     37.0    31     null     null     null        null      N 
 G337.9882+0.0237 16h39m15.82s -46d44m52.4s    31    31     31.8    31   -45.75    12.25     0.46 Csengeri+14      Y 
 G338.0360-0.0429 16h39m44.35s -46d45m23.0s    48    33     86.7    40     null     null     null        null      N 
 G338.0911-0.1493 16h40m25.06s -46d47m09.2s    35    26    163.5    30     null     null     null        null      N 
 G338.1464+0.1094 16h39m30.26s -46d34m22.1s    38    27     20.7    32     null     null     null        null      N 
 G338.3843+0.0118 16h40m50.81s -46d27m34.6s    43    25    166.5    33   -39.18    12.64     0.49 Csengeri+14      N 
 G338.4460-0.0064 16h41m09.77s -46d25m31.4s    28    21     59.4    24   -49.17    12.09     0.45 Csengeri+14      N 
 G338.4598+0.0239 16h41m05.02s -46d23m42.0s    45    28    127.4    36   -41.02    12.54     0.48 Csengeri+14      N 
 G338.6209+0.0228 16h41m42.34s -46d16m29.3s    40    24     47.3    31   -23.00    13.68     0.58  Purcell+12      Y 
 G338.7851+0.4767 16h40m22.18s -45d51m05.0s    36    31     73.5    33   -64.56     4.25     0.41  Purcell+12      Y 
 G338.8688-0.4796 16h44m50.69s -46d25m03.0s    32    23    111.7    27   -36.51     2.81     0.48 Csengeri+14      Y 
 G338.9293-0.0802 16h43m19.58s -46d06m37.4s    35    31    164.0    33   -46.13    12.28     0.46 Csengeri+14      N 
 G339.2067-0.6594 16h46m54.55s -46d16m40.1s    40    28    160.4    33   -41.93     3.11     0.46 Csengeri+14      Y 
 G339.2580-0.0069 16h44m14.83s -45d48m50.8s    35    26    141.9    30  -105.91     9.24     0.53  Purcell+12      Y 
 G339.3148+0.2296 16h43m26.21s -45d36m58.3s    44    33    169.0    38   -70.04     4.58     0.40 Csengeri+14      N 
 G339.3645-0.1812 16h45m24.24s -45d50m49.9s    32    20    161.6    25     null     null     null        null      Y 
 G339.8827-0.5784 16h49m03.82s -45d42m32.8s    22    22     88.0    22     null     null     null        null      Y 
 G339.9677-0.1632 16h47m33.84s -45d22m35.4s    44    26     94.3    33   -35.71    12.91     0.52 Csengeri+14      N 
 G340.2060-0.0496 16h47m56.71s -45d07m16.3s    36    28     72.2    32  -121.27     7.93     0.86 Csengeri+14      Y 
 G340.2230-0.1681 16h48m31.27s -45d11m04.6s    34    27     96.1    30   -52.80    11.92     0.44  Jackson+08      Y 
 G340.2401-0.1581 16h48m32.42s -45d09m54.0s    26    20     53.1    22   -52.19    11.95     0.44 Csengeri+14      Y 
 G340.2545-0.2261 16h48m53.33s -45d11m52.1s    51    21     33.0    33   -47.11    12.21     0.45 Csengeri+14      Y 
 G340.2664-0.1570 16h48m37.90s -45d08m39.1s    34    29      0.1    31   -51.61    11.98     0.44 Csengeri+14      Y 
 G340.2841-0.4013 16h49m45.55s -45d17m15.4s    26    20      4.9    23   -50.46     3.68     0.44 Csengeri+14      Y 
 G341.0096-0.3595 16h52m11.76s -44d42m08.6s    39    33    103.4    36   -44.52     3.43     0.46 Csengeri+14      Y 
 G341.1806-0.2769 16h52m26.88s -44d31m04.4s    36    20    160.4    26   -44.11     3.43     0.46 Csengeri+14      Y 
 G341.7206+0.0591 16h52m54.55s -43d53m14.3s    26    21    118.3    23   -51.71    12.01     0.45 Csengeri+14      N 
 G344.0948-0.6416 17h04m00.41s -42d27m38.5s    47    30    133.4    37   -25.58     2.49     0.58 Csengeri+14      N 
 G344.1469-0.6158 17h04m04.03s -42d24m13.3s    39    29     58.4    34   -23.75     2.37     0.59 Csengeri+14      Y 
 G345.4240-0.9156 17h09m29.38s -41d33m49.7s    35    28     69.5    31     null     null     null        null      N 
 G345.5554+0.0239 17h05m54.53s -40d53m43.4s    47    40     58.1    43   -16.66     1.37     0.14 Csengeri+14      Y 
 G347.6622+0.2264 17h11m37.75s -39d05m04.2s    37    23     71.2    29   -93.80     9.51     0.41 Csengeri+14      N 
 G347.6783+0.2039 17h11m46.32s -39d05m05.3s    49    22    173.2    32   -73.14    10.46     0.39 Csengeri+14      Y 
 G349.1665+0.1308 17h16m31.54s -37d55m14.2s    40    31    110.4    35   -60.68    10.88     0.44 Csengeri+14      N 
 G349.1770+0.1247 17h16m34.90s -37d54m56.2s    37    31     84.4    34   -60.68    10.88     0.44 Csengeri+14      Y 
 G349.1823+0.0645 17h16m50.76s -37d56m46.3s    41    26    146.4    33     null     null     null        null      Y 
 G350.4475+0.8777 17h17m11.50s -36d26m37.7s    42    26     85.3    33     null     null     null        null      Y 
 G350.7599+0.7918 17h18m26.09s -36d14m17.5s    40    26     44.1    32    -4.98     1.34     0.14 Csengeri+14      Y 
 G350.7733+0.7956 17h18m27.48s -36d13m30.0s    40    23      1.1    30    -4.93     1.34     0.14 Csengeri+14      Y 
 G350.7947+0.9075 17h18m03.94s -36d08m35.2s    33    21    144.2    26     null     null     null        null      N 
 G350.8162+0.5146 17h19m43.32s -36d21m04.3s    33    27     15.9    30    -0.41     1.34     0.13 Csengeri+14      N 
 G350.9224+0.7443 17h19m05.42s -36d07m57.0s    38    24    155.0    30    -4.10     1.34     0.14  Jackson+08      Y 
 G350.9730+0.5488 17h20m01.66s -36d12m11.2s    54    38    176.9    45     null     null     null        null      N 
 G351.0167+0.7356 17h19m23.62s -36d03m37.1s    39    28     34.0    33    -4.30     1.34     0.14 Csengeri+14      N 
 G351.1314+0.7709 17h19m34.54s -35d56m46.0s    32    32    131.0    32    -5.58     1.35     0.14 Csengeri+14      N 
 G351.1402+0.7551 17h19m39.86s -35d56m52.4s    50    20     96.9    31    -5.86     1.35     0.14 Csengeri+14      N 
 G351.1414+0.7764 17h19m34.90s -35d56m04.9s    35    20     94.0    26    -6.06     1.35     0.14 Csengeri+14      N 
 G351.1438+0.6599 17h20m03.65s -35d59m57.8s    30    22    139.9    26     null     null     null        null      N 
 G351.1510+0.7656 17h19m39.14s -35d55m58.8s    40    20    108.0    27    -6.63     1.35     0.14 Csengeri+14      N 
 G351.1588+0.7490 17h19m44.52s -35d56m10.0s    36    20    105.9    26    -7.59     1.35     0.14 Csengeri+14      N 
 G351.1734+0.6330 17h20m15.19s -35d59m26.2s    40    30     74.9    35    -4.30     1.34     0.14 Csengeri+14      N 
 G351.1785+0.6452 17h20m13.08s -35d58m45.8s    44    29     26.9    36    -4.30     1.34     0.14 Csengeri+14      N 
 G351.1821+0.5734 17h20m31.20s -36d01m03.0s    58    35    132.8    45    -4.73     1.35     0.14 Csengeri+14      N 
 G351.1914+0.5841 17h20m30.14s -36d00m13.3s    60    20    162.8    34    -4.73     1.35     0.14 Csengeri+14      N 
 G351.2427+0.5295 17h20m52.13s -35d59m34.1s    30    25    104.8    27     null     null     null        null      N 
 G351.4659+0.6821 17h20m52.70s -35d43m20.6s    48    27      0.8    36    -2.67     1.34     0.14 Csengeri+14      N 
 G351.4680+0.5865 17h21m16.30s -35d46m30.4s    56    41    116.7    48    -4.27     1.35     0.14 Csengeri+14      N 
 G351.4968+0.6453 17h21m06.86s -35d43m04.8s    43    25     32.7    33    -3.76     1.34     0.14 Csengeri+14      N 
 G351.4981+0.6634 17h21m02.69s -35d42m23.8s    21    20     21.7    20    -4.46     1.35     0.14 Csengeri+14      N 
 G351.5089+0.6415 17h21m09.82s -35d42m36.7s    25    25    123.7    25    -3.76     1.34     0.14 Csengeri+14      N 
 G351.5228+0.1963 17h23m00.65s -35d57m05.4s    37    21     20.5    28     null     null     null        null      N 
 G351.5290+0.6939 17h21m00.46s -35d39m49.7s    33    20     40.7    25    -3.16     1.34     0.14  Jackson+08      N 
 G351.5471+0.1847 17h23m07.54s -35d56m17.2s    33    30      6.4    31   -40.75    11.64     0.60 Csengeri+14      N 
 G351.5508+0.6942 17h21m04.08s -35d38m44.5s    40    23     69.7    30    -3.01     1.34     0.14 Csengeri+14      N 
 G351.5663+0.6068 17h21m27.91s -35d40m58.1s    45    20    124.7    29    -2.70     1.34     0.14  Jackson+08      Y 
 G351.5719+0.7631 17h20m50.90s -35d35m20.8s    49    36     25.8    42    -2.70     1.34     0.14 Csengeri+14      Y 
 G351.6516+0.5283 17h22m01.32s -35d39m25.9s    41    23    104.6    31     null     null     null        null      N 
 G351.7858+0.2130 17h23m40.58s -35d43m30.4s    64    33     48.4    46     null     null     null        null      Y 
 G352.5730-0.1914 17h27m29.38s -35d17m58.9s    31    21     78.8    26   -85.37     7.64     0.39 Csengeri+14      N 
 G352.9722+0.9249 17h24m04.32s -34d20m38.0s    30    22     47.3    25    -4.81     1.35     0.14 Csengeri+14      Y 
 G353.0114+0.9828 17h23m56.83s -34d16m44.0s    43    20    112.3    29    -4.17     1.34     0.14 Csengeri+14      N 
 G353.0195+0.9750 17h24m00.02s -34d16m35.8s    34    25     79.3    29    -4.17     1.34     0.14 Csengeri+14      N 
 G353.0325+0.5659 17h25m40.56s -34d29m44.5s    40    34      6.1    37    -2.07     1.34     0.14 Csengeri+14      N 
 G353.0427+0.6905 17h25m12.22s -34d25m02.6s    42    42    123.1    42    -4.42     1.35     0.14 Csengeri+14      N 
 G353.0536+0.6812 17h25m16.22s -34d24m49.0s    40    30     84.1    34    -3.45     1.35     0.14 Csengeri+14      N 
 G353.0701+0.5051 17h26m01.39s -34d29m55.0s    45    34     50.0    39    -3.32     1.35     0.14 Csengeri+14      N 
 G353.0785+0.4196 17h26m23.38s -34d32m21.8s    43    24    169.0    32     1.68     1.34     0.14 Csengeri+14      Y 
 G353.0919+0.9713 17h24m12.74s -34d13m08.0s    41    27     50.3    33    -4.64     1.35     0.14 Csengeri+14      N 
 G353.2777+0.8504 17h25m12.05s -34d07m59.2s    40    29    130.1    34    -5.26     1.35     0.14 Csengeri+14      N 
 G353.4298-0.1939 17h29m48.96s -34d35m15.7s    36    31     67.5    34   -82.58     8.80     0.38 Csengeri+14      Y 
 G353.5734-0.0798 17h29m44.30s -34d24m18.0s    35    26    110.5    30   -56.73     9.99     0.45 Csengeri+14      N 
 G354.3403+0.4742 17h29m33.07s -33d27m34.9s    44    39     84.5    42     null     null     null        null      Y 
 G354.4525+0.4192 17h30m04.06s -33d23m47.4s    44    29    106.4    36     null     null     null        null      Y 
 G354.8133+0.3514 17h31m17.26s -33d07m56.3s    43    26     81.3    33     null     null     null        null      Y 
 G355.2569+0.3646 17h32m23.54s -32d45m14.0s    26    24     37.1    25    71.07     5.43     0.21      malt90      Y 
 G356.2261+0.7052 17h33m32.45s -31d45m20.9s    32    24     73.0    27   113.16     5.36     1.16      malt90      N 
 G358.4116-0.3842 17h43m18.07s -30d29m27.2s    29    23    111.7    26     null     null     null        null      Y 
 G358.5723-0.3058 17h43m23.02s -30d18m46.4s    35    22    139.7    28    -4.25    18.29     2.10      malt90      Y 
 G358.6771-0.4584 17h44m14.40s -30d18m13.3s    49    28      2.6    37     null     null     null        null      Y 
 G359.0025+0.1684 17h42m33.91s -29d41m51.7s    37    30     88.8    33     null     null     null        null      Y 
 G359.0305-0.2236 17h44m10.22s -29d52m46.9s    45    31     36.6    37     null     null     null        null      N 
 G359.2015+0.0068 17h43m40.78s -29d36m47.9s    57    38     61.6    47     null     null     null        null      N 
 G359.2513-0.0261 17h43m55.73s -29d35m17.2s    55    26     18.6    38     null     null     null        null      N 
 G359.3608-0.0077 17h44m07.20s -29d29m07.1s    54    30    119.6    40  -102.94     9.72     2.37      malt90      N 
 G359.4711-0.1175 17h44m48.91s -29d26m55.3s    40    35     68.5    38     null     null     null        null      N 
 G359.4854-0.1237 17h44m52.42s -29d26m22.9s    31    31     61.5    31     null     null     null        null      Y 
 G359.5086-0.0512 17h44m38.76s -29d22m55.2s    37    25    111.5    30     null     null     null        null      Y 
 G359.5257-0.0096 17h44m31.42s -29d20m44.5s    26    24    106.5    25     null     null     null        null      N 
 G359.5372-0.0016 17h44m31.20s -29d19m54.1s    43    25     13.5    33     null     null     null        null      Y 
 G359.5400-0.1638 17h45m09.72s -29d24m50.8s    38    20     31.5    27     null     null     null        null      Y 
 G359.5454-0.0793 17h44m50.64s -29d21m55.4s    33    28     74.5    30     null     null     null        null      N 
 G359.5575-0.0933 17h44m55.68s -29d21m44.6s    64    44    137.5    53     null     null     null        null      N 
 G359.6100-0.1578 17h45m18.36s -29d21m04.7s    40    32    101.4    36     null     null     null        null      N 
 G359.6209-0.0994 17h45m06.22s -29d18m41.0s    76    30     44.5    48     null     null     null        null      N 
 G359.6246+0.0235 17h44m37.92s -29d14m38.8s    39    33     71.5    36   -75.18     5.20     0.23      malt90      N 
 G359.6454-0.0251 17h44m52.27s -29d15m06.5s    57    25     52.5    38     null     null     null        null      N 
 G359.6540-0.0064 17h44m49.15s -29d14m04.9s    43    25     23.5    33     null     null     null        null      N 
 G359.6625-0.1137 17h45m15.55s -29d17m00.2s    35    35     80.4    35     null     null     null        null      N 
 G359.6749-0.1772 17h45m32.23s -29d18m21.6s    45    35     19.4    39     null     null     null        null      N 
 G359.6815-0.0842 17h45m11.35s -29d15m06.5s    43    43     59.5    43     null     null     null        null      N 
 G359.6930-0.0658 17h45m08.66s -29d13m56.6s    48    28    145.5    37    12.10    14.85     2.36  Purcell+12      N 
 G359.6956-0.2986 17h46m03.72s -29d21m05.4s    32    20    100.3    24     null     null     null        null      N 
 G359.7119+0.0473 17h44m44.88s -29d09m26.3s    42    34    179.5    38     null     null     null        null      N 
 G359.7338-0.1639 17h45m37.56s -29d14m55.7s    39    20     55.4    28     null     null     null        null      N 
 G359.7426+0.0302 17h44m53.28s -29d08m24.0s    50    30    134.5    38    79.10    12.62     4.59  Purcell+12      N 
 G359.7475-0.0359 17h45m09.50s -29d10m13.4s    32    29     12.5    30     null     null     null        null      N 
 G359.7513-0.1447 17h45m35.54s -29d13m26.0s    35    32    111.4    33     null     null     null        null      N 
 G359.7524+0.0426 17h44m51.82s -29d07m30.7s    54    35    126.5    43     null     null     null        null      N 
 G359.7781-0.0852 17h45m25.44s -29d10m11.6s    41    34    158.4    37     null     null     null        null      N 
