|            Name|    sName|      ra|     dec|amaj|amin|  PA|FWHM|    Sp|  Sint|   S_N|  Dist|          VLSR|             l|                b|      amaj_36|      amin_36|      fwhm_eq|Dist_B|sigma_D|              Nh2|        Tdust|     mass_1kpc|         Lum_1kpc|       Mclump|           Lclump|     L_M_ratio|           r_pc|         n_H2|
|            char|     char|  double|  double|long|long|long|long|double|double|double|double|        double|        double|           double|       double|       double|       double|double| double|           double|       double|        double|           double|       double|           double|        double|         double|       double|
|                |         |     deg|     deg|arcs|arcs| deg|arcs|    Jy|    Jy|      |      |              |              |                 |             |             |             |      |       |                 |             |              |                 |             |                 |              |               |             |
|            null|     null|    null|    null|null|null|null|null|  null|  null|  null|  null|          null|          null|             null|         null|         null|         null|  null|   null|             null|         null|          null|             null|         null|             null|          null|           null|         null|
 G012.1981-0.0340 G012_1981 273.0977 -18.3819   25   23   68   24   2.76   4.35  36.43   11.9  50.7000007629  12.1981970983  -0.0340509542733 19.8097829367 19.1944653481  13.955285737  10.74    0.23 5.70333735073e+22 21.3246157391  28.5319427921     204.426235597  3291.0911244     23580.0756532  7.16482004351  0.747983310641 27103.5732401 
 G012.2080-0.1019 G012_2080 273.1655 -18.4059   25   23    6   24  10.62  16.23 102.19   13.6           24.5  12.2080348204   -0.102009392772 19.8097829367 19.1944653481  13.955285737  13.41    0.26 1.78826757182e+23 21.1599909244  90.0331305139     561.932310456 16190.4867974     101051.219718  6.24139477599  0.933934468873 68497.2381107 
 G012.4311-0.0502 G012_4311 273.2304 -18.1853   40   40   -2   40   0.56   2.45   7.97   13.9  21.1000003815  12.4311481669   -0.050223149099 25.2225593467 25.2225593467 34.9249194702  13.46    0.26 1.98939083487e+22 20.4487638222  17.6286040899     86.2730340611 3193.80240873     15630.2236177  4.89392317289   2.28987854264 916.712319992 
 G012.6827+0.0104 G012_6827 273.3014 -17.9354   44   25  133   33   0.51   1.54   6.62    9.9           46.0  12.6828129614   0.0103684925425 26.8361230434 19.8097829367 26.8281568506    4.5    0.23  1.2562048106e+22 20.3376872276  9.71915644502     62.8520897412 196.812918012     1272.75481726   6.4668256033  0.590001319033 3302.60792911 
 G012.8057-0.1994 G012_8057 273.5569 -17.9279   37   29  -20   33  31.05  92.35  171.8    2.4           36.5  12.8057722117   -0.199463728019 24.0505197449 21.1288310136 26.3201443765   3.06    0.33 8.11429796011e+22 46.0609692706  61.8732024979 9.21809922663e+12  579.35591891 8.63145939184e+13 148983709497.0  0.393725583867 32713.4921792 
 G012.8573-0.2725 G012_8573 273.6503 -17.9175   26   24  125   25   2.76   4.67  35.76    2.4  36.7000007629  12.8573789525   -0.272555374419 20.1290213374  19.498140937  15.612494996   3.06    0.33 7.80632417468e+22 20.0871744519   39.267896569      192.99222863 367.688876313       1807.102032  4.91475850485  0.237067886625 95109.6697166 
 G012.8882+0.4897 G012_8882 272.9636 -17.5251   27   23   74   25   8.48  14.29  89.72    2.4           33.5  12.8882516768    0.489604975515 20.4555004828 19.1944653481 15.5161206492   2.97    0.29 1.52350177029e+23 22.5257867434  76.7503548459     673.624787951  677.00720506     5941.97689204  8.77682962253   0.22873971492 194953.452538 
 G012.9974-0.3573 G012_9974 273.7989 -17.8349   33   32   91   32   2.09   5.96  27.62    1.9  14.3999996185  12.9974723346   -0.357399214977 22.5483369675  22.185073811 25.9951918631   1.83    0.08 8.04089985069e+22 19.0409845787   41.944487637     152.113836571 140.467894647     509.414027291   3.6265513096  0.232604484913 38466.7227333 
 G013.1856-0.1084 G013_1856 273.6635 -17.5507   44   33   10   38   0.97   3.84  14.68   11.8  53.0999984741  13.1856343443   -0.108390897764 26.8361230434 22.5483369675 32.7375930697   4.59    0.23 5.40898155322e+22 17.6811975088  55.1911490875     118.954752923 1162.77264809     2506.15063005  2.15532299815   0.73244319868 10198.4770312 
 G013.2081-0.1428 G013_2081 273.7066 -17.5474   58   33   41   44   2.59  13.31  35.98    4.6  51.0999984741   13.208158244   -0.142920459747 32.8203823866 22.5483369675 39.1631204068   4.55    0.23 9.09119189866e+22 21.9935504638  103.462990521     735.141564104 2141.94256126     15219.2682309  7.10535777481  0.867163714254 11320.5335583 
 G013.3850+0.0643 G013_3850 273.6045  -17.293   37   31  109   34   0.99   3.11  14.23    1.9  15.1000003815  13.3851216531   0.0641868668816 24.0505197449 21.8272192457  27.690250992  14.51     0.3 1.74742237202e+22  26.012284162  9.09621991129     244.835352436 1915.11904974     51547.6595854  26.9161646073   1.96260334162 873.093069658 
 G013.8728+0.2804 G013_8728 273.6497 -16.7612   35   26   83   30   4.97  12.34  58.81    4.4           48.5  13.8729412362    0.280320084923 23.2900729926 20.1290213374  23.016298573   4.49    0.21 9.79175988527e+22 25.8455442392  49.3668392271      1129.1702575 995.240415502     22764.1853083  22.8730515298  0.506482319663 26399.6094318 
 G014.2454-0.0712 G014_2454 274.1577 -16.6013   32   26   -9   29   2.77    6.3  39.66   11.6  60.2000007629  14.2454241011   -0.071284315981  22.185073811 20.1290213374 21.2544113068   10.6    0.23 1.01923368237e+23 15.9601714802  51.4875211639     67.5265353415 5785.13787797     7587.28151097  1.31151265035   1.10621616935 14728.4170804 
