|   Seq |             Name |       ra |      dec | amaj | amin |  PA | FWHM |     Sp |   Sint |    S_N |
|    69 | G304.3675-0.3358 | 196.0416 | -63.1722 |   24 |   22 |  81 |   23 |   0.76 |   1.09 |   7.15 |
|    70 | G304.4671-0.0044 | 196.2237 | -62.8361 |   31 |   26 |  65 |   28 |   0.70 |   1.54 |   6.96 |
|    72 | G304.5560+0.3277 | 196.3784 | -62.4998 |   31 |   27 |  64 |   29 |   1.53 |   3.49 |  17.19 |
|    73 | G304.5852+0.5819 | 196.4112 | -62.2443 |   26 |   22 | 102 |   24 |   0.85 |   1.33 |  10.38 |
|    74 | G304.5990+0.3511 | 196.4686 | -62.4740 |   23 |   19 | 130 |   21 |   0.53 |   0.62 |   5.85 |
|    75 | G304.6651-0.9661 | 196.7850 | -63.7850 |   27 |   22 |  83 |   25 |   0.95 |   1.55 |   9.24 |
|    76 | G304.6733+0.2571 | 196.6410 | -62.5636 |   25 |   20 |  48 |   22 |   0.91 |   1.24 |  10.42 |
|    85 | G304.7902-0.8722 | 197.0537 | -63.6835 |   34 |   25 |  95 |   29 |   0.60 |   1.40 |   7.06 |
|    86 | G304.7965+0.5801 | 196.8643 | -62.2337 |   27 |   26 | 145 |   27 |   0.68 |   1.30 |   7.49 |
|    89 | G304.8864+0.6356 | 197.0491 | -62.1727 |   25 |   22 |  82 |   24 |   1.98 |   2.99 |  19.44 |
|    90 | G304.9200+0.5446 | 197.1338 | -62.2612 |   30 |   27 |  81 |   28 |   0.73 |   1.60 |   6.64 |
|    91 | G304.9213+0.5230 | 197.1397 | -62.2827 |   34 |   22 |  26 |   28 |   0.82 |   1.70 |   7.11 |
|    92 | G304.9327+0.5466 | 197.1608 | -62.2583 |   40 |   25 | -26 |   31 |   1.22 |   3.28 |  11.31 |
|    95 | G305.0943+0.2510 | 197.5531 | -62.5420 |   60 |   20 |  24 |   34 |   0.67 |   2.14 |   6.91 |
|    96 | G305.0955+0.0877 | 197.5817 | -62.7048 |   36 |   25 |  50 |   30 |   0.85 |   2.04 |   8.97 |
|    98 | G305.1293-0.0271 | 197.6740 | -62.8168 |   29 |   21 |  63 |   25 |   0.56 |   0.92 |   5.91 |
|    99 | G305.1367+0.0687 | 197.6745 | -62.7207 |   34 |   27 |  40 |   30 |   3.03 |   7.50 |  30.82 |
|   100 | G305.1437+0.2076 | 197.6671 | -62.5817 |   26 |   24 |  24 |   25 |   0.85 |   1.47 |   9.33 |
|   102 | G305.1543+0.0477 | 197.7161 | -62.7403 |   33 |   26 | 124 |   29 |   0.66 |   1.51 |   6.22 |
|   103 | G305.1721+0.0079 | 197.7616 | -62.7786 |   26 |   19 | 133 |   22 |   0.60 |   0.81 |   6.10 |
|   105 | G305.1898+0.0419 | 197.7944 | -62.7433 |   29 |   21 | -33 |   25 |   0.70 |   1.18 |   7.04 |
|   106 | G305.1911+0.0109 | 197.8025 | -62.7741 |   34 |   22 | 107 |   27 |   0.62 |   1.23 |   6.01 |
|   107 | G305.1935-0.0059 | 197.8105 | -62.7907 |   32 |   26 | 106 |   29 |   3.15 |   7.15 |  30.11 |
|   108 | G305.1955+0.0341 | 197.8082 | -62.7507 |   39 |   29 |   2 |   34 |   4.45 |  13.53 |  42.79 |
|   109 | G305.1978+0.0070 | 197.8178 | -62.7775 |   37 |   24 |  75 |   30 |   3.12 |   7.73 |  28.31 |
|   110 | G305.1996+0.0194 | 197.8197 | -62.7650 |   23 |   19 | 106 |   21 |   1.62 |   1.89 |  14.88 |
|   111 | G305.1997+0.2067 | 197.7885 | -62.5783 |   26 |   21 |  92 |   23 |   2.63 |   3.88 |  23.57 |
|   112 | G305.2007+0.2286 | 197.7871 | -62.5564 |   33 |   27 | 115 |   30 |   1.21 |   2.88 |  10.23 |
|   113 | G305.2083+0.2063 | 197.8071 | -62.5780 |   30 |   24 |  16 |   27 |  13.51 |  26.12 |  96.81 |
|   115 | G305.2145+0.2014 | 197.8215 | -62.5824 |   29 |   19 | 156 |   23 |   1.38 |   2.05 |  11.12 |
|   116 | G305.2267-0.0262 | 197.8864 | -62.8084 |   38 |   19 |  22 |   27 |   0.62 |   1.23 |   5.86 |
|   117 | G305.2272+0.2746 | 197.8366 | -62.5085 |   54 |   42 |  37 |   48 |   1.72 |  10.56 |  19.45 |
|   118 | G305.2276+0.2861 | 197.8356 | -62.4970 |   39 |   19 |  55 |   27 |   0.73 |   1.50 |   8.43 |
|   120 | G305.2344-0.0342 | 197.9046 | -62.8157 |   31 |   19 |  82 |   24 |   0.60 |   0.96 |   6.29 |
|   121 | G305.2350-0.0231 | 197.9040 | -62.8046 |   53 |   26 |  18 |   38 |   1.56 |   5.95 |  19.35 |
|   122 | G305.2351+0.2609 | 197.8561 | -62.5216 |   48 |   30 |  78 |   38 |   1.57 |   6.12 |  18.49 |
|   123 | G305.2369+0.2846 | 197.8559 | -62.4977 |   35 |   21 |  96 |   27 |   0.83 |   1.66 |   9.56 |
|   124 | G305.2423-0.0290 | 197.9209 | -62.8100 |   23 |   19 | 117 |   21 |   0.58 |   0.70 |   6.26 |
|   125 | G305.2424+0.2763 | 197.8692 | -62.5056 |   47 |   21 |   3 |   32 |   0.68 |   1.86 |   7.47 |
|   126 | G305.2431-0.0421 | 197.9249 | -62.8230 |   38 |   23 |  57 |   29 |   1.26 |   2.95 |  13.38 |
|   127 | G305.2456+0.2460 | 197.8811 | -62.5355 |   28 |   26 |  -4 |   27 |   2.91 |   5.81 |  28.98 |
|   128 | G305.2501-0.0273 | 197.9375 | -62.8077 |   33 |   19 |  16 |   25 |   0.63 |   1.08 |   7.53 |
|   129 | G305.2525+0.0799 | 197.9245 | -62.7006 |   30 |   24 | 120 |   27 |   0.54 |   1.04 |   5.77 |
|   130 | G305.2581+0.3275 | 197.8944 | -62.4533 |   55 |   19 |  83 |   32 |   0.77 |   2.20 |   8.39 |
|   131 | G305.2608+0.3083 | 197.9034 | -62.4723 |   56 |   30 |  54 |   41 |   0.71 |   3.22 |   8.24 |
|   133 | G305.2632-0.0168 | 197.9644 | -62.7961 |   38 |   24 |  82 |   30 |   1.34 |   3.28 |  15.66 |
|   134 | G305.2703-0.0090 | 197.9785 | -62.7878 |   37 |   28 | 126 |   32 |   6.67 |  18.84 |  55.05 |
|   135 | G305.2711+0.2447 | 197.9366 | -62.5348 |   22 |   22 | -25 |   22 |   0.64 |   0.84 |   7.22 |
