|   Seq |             Name |       ra |      dec | amaj | amin |  PA | FWHM |     Sp |   Sint |    S_N |
|  2586 | G337.7129+0.0874 | 249.4780 | -46.9103 |   24 |   21 |  48 |   23 |   8.89 |  12.41 |  99.54 |
|  2588 | G337.7194+0.0789 | 249.4936 | -46.9112 |   39 |   35 | 118 |   37 |   1.05 |   3.97 |  11.83 |
|  2589 | G337.7195+0.0645 | 249.5093 | -46.9208 |   30 |   21 | 100 |   25 |   0.90 |   1.52 |  11.29 |
|  2590 | G337.7207+0.0436 | 249.5333 | -46.9338 |   38 |   26 |  -5 |   31 |   0.56 |   1.49 |   7.58 |
|  2593 | G337.7607-0.3388 | 249.9908 | -47.1588 |   33 |   26 | 152 |   29 |   1.92 |   4.39 |  26.78 |
|  2597 | G337.7726-0.3323 | 249.9953 | -47.1456 |   44 |   30 | 126 |   36 |   0.67 |   2.41 |   9.48 |
|  2602 | G337.8026-0.9187 | 250.6738 | -47.5107 |   36 |   23 | 101 |   29 |   0.52 |   1.17 |   6.61 |
|  2603 | G337.8039-0.3342 | 250.0278 | -47.1235 |   22 |   19 |  96 |   21 |   0.53 |   0.61 |   7.36 |
|  2604 | G337.8120+0.0086 | 249.6606 | -46.8893 |   30 |   23 | 118 |   26 |   0.81 |   1.50 |  11.84 |
|  2607 | G337.8440-0.3756 | 250.1124 | -47.1210 |   26 |   25 |  55 |   25 |   3.12 |   5.48 |  40.38 |
|  2612 | G337.8965-0.5628 | 250.3700 | -47.2055 |   37 |   28 |  62 |   32 |   0.82 |   2.29 |  10.98 |
|  2614 | G337.9075-0.4519 | 250.2583 | -47.1239 |   40 |   20 | 118 |   28 |   0.69 |   1.47 |   6.86 |
|  2615 | G337.9078-0.4789 | 250.2884 | -47.1415 |   31 |   22 |  76 |   26 |   2.39 |   4.45 |  22.90 |
|  2616 | G337.9092-0.4701 | 250.2800 | -47.1347 |   21 |   19 |  69 |   20 |   1.06 |   1.16 |   8.77 |
|  2618 | G337.9109-0.4603 | 250.2709 | -47.1269 |   31 |   21 | 106 |   25 |   2.47 |   4.28 |  22.63 |
|  2619 | G337.9154-0.4773 | 250.2940 | -47.1348 |   24 |   24 | 111 |   24 |  22.86 |  36.61 | 145.10 |
|  2620 | G337.9214-0.1193 | 249.9070 | -46.8929 |   26 |   23 |  73 |   24 |   0.73 |   1.19 |  10.27 |
|  2621 | G337.9219-0.4555 | 250.2762 | -47.1155 |   44 |   26 |  -7 |   34 |   5.77 |  18.14 |  51.50 |
|  2622 | G337.9227-0.4482 | 250.2691 | -47.1101 |   25 |   20 | 112 |   22 |   1.36 |   1.84 |  14.47 |
|  2625 | G337.9305-0.5222 | 250.3581 | -47.1532 |   36 |   19 | 104 |   26 |   0.57 |   1.06 |   7.36 |
|  2626 | G337.9333-0.5064 | 250.3436 | -47.1406 |   43 |   22 |  50 |   30 |   3.15 |   7.90 |  38.68 |
|  2628 | G337.9386-0.5333 | 250.3783 | -47.1544 |   24 |   22 |  86 |   23 |   0.81 |   1.21 |  10.86 |
|  2629 | G337.9427-0.0061 | 249.8041 | -46.8017 |   25 |   22 |  82 |   23 |   1.17 |   1.71 |  16.90 |
|  2633 | G337.9616-0.1667 | 249.9978 | -46.8944 |   37 |   24 |  79 |   30 |   0.86 |   2.12 |  11.84 |
|  2634 | G337.9634+0.1430 | 249.6620 | -46.6868 |   30 |   22 |  44 |   26 |   1.69 |   3.01 |  24.28 |
|  2637 | G337.9696+0.1358 | 249.6758 | -46.6870 |   28 |   22 |  78 |   25 |   0.66 |   1.11 |   9.45 |
|  2638 | G337.9709+0.0897 | 249.7272 | -46.7168 |   33 |   21 |  94 |   26 |   1.94 |   3.70 |  27.79 |
|  2642 | G337.9843-0.1457 | 249.9968 | -46.8635 |   25 |   24 |  45 |   24 |   0.73 |   1.18 |  10.93 |
|  2643 | G337.9882+0.0237 | 249.8159 | -46.7479 |   31 |   31 | -10 |   31 |   0.70 |   1.86 |  10.20 |
|  2645 | G337.9936+0.1245 | 249.7115 | -46.6767 |   33 |   32 |  24 |   33 |   1.12 |   3.24 |  15.36 |
|  2646 | G337.9937-0.0964 | 249.9521 | -46.8237 |   32 |   25 | 128 |   28 |   0.65 |   1.41 |   9.38 |
|  2649 | G337.9951+0.0766 | 249.7649 | -46.7075 |   43 |   29 | 119 |   35 |   2.08 |   7.05 |  29.70 |
|  2650 | G337.9966+0.1343 | 249.7038 | -46.6679 |   36 |   25 | 121 |   30 |   2.22 |   5.46 |  29.81 |
|  2651 | G337.9999-0.1496 | 250.0162 | -46.8544 |   29 |   22 |  90 |   25 |   0.92 |   1.56 |  14.13 |
|  2653 | G338.0063+0.0171 | 249.8407 | -46.7388 |   27 |   26 |  85 |   26 |   0.73 |   1.39 |  11.36 |
|  2658 | G338.0215-0.2057 | 250.0987 | -46.8755 |   39 |   27 |  -9 |   33 |   0.67 |   1.92 |  10.20 |
|  2661 | G338.0360-0.0429 | 249.9348 | -46.7564 |   48 |   33 |  45 |   40 |   0.65 |   2.79 |  10.01 |
|  2665 | G338.0634+0.0120 | 249.9016 | -46.6996 |   34 |   29 |  81 |   32 |   1.08 |   2.94 |  15.77 |
|  2667 | G338.0661-0.0699 | 249.9935 | -46.7520 |   44 |   36 |  47 |   40 |   1.10 |   4.74 |  16.37 |
|  2668 | G338.0663+0.0445 | 249.8691 | -46.6757 |   41 |   30 |  91 |   35 |   1.14 |   3.79 |  16.98 |
|  2669 | G338.0748+0.0111 | 249.9136 | -46.6916 |   32 |   30 |  58 |   31 |   6.30 |  16.54 |  80.36 |
|  2670 | G338.0781-0.0292 | 249.9607 | -46.7159 |   30 |   24 | 137 |   27 |   0.81 |   1.58 |  11.70 |
|  2671 | G338.0802+0.0174 | 249.9120 | -46.6834 |   36 |   19 |  31 |   26 |   0.97 |   1.79 |  12.98 |
|  2674 | G338.0911-0.1493 | 250.1044 | -46.7859 |   35 |   26 | 122 |   30 |   0.54 |   1.29 |   8.11 |
|  2677 | G338.1087+0.0226 | 249.9340 | -46.6587 |   38 |   28 |  11 |   33 |   0.58 |   1.69 |   8.52 |
|  2678 | G338.1113-0.1911 | 250.1697 | -46.7986 |   31 |   22 |  39 |   26 |   0.59 |   1.08 |   9.27 |
|  2681 | G338.1197+0.1611 | 249.7941 | -46.5583 |   39 |   25 |  30 |   31 |   0.53 |   1.40 |   7.83 |
|  2682 | G338.1252+0.1698 | 249.7899 | -46.5484 |   35 |   25 | 135 |   29 |   1.12 |   2.62 |  16.82 |
|  2685 | G338.1317-0.2104 | 250.2106 | -46.7960 |   69 |   27 | 130 |   43 |   0.52 |   2.61 |   7.76 |
|  2687 | G338.1414+0.1773 | 249.7975 | -46.5313 |   30 |   23 |  92 |   26 |   0.76 |   1.41 |  10.76 |
|  2688 | G338.1457-0.0567 | 250.0562 | -46.6836 |   28 |   19 |  32 |   23 |   0.72 |   1.03 |  10.74 |
|  2689 | G338.1464+0.1094 | 249.8761 | -46.5728 |   38 |   27 | -21 |   32 |   0.63 |   1.73 |   9.26 |
|  2693 | G338.1906+0.6439 | 249.3422 | -46.1829 |   25 |   19 | 130 |   22 |   0.56 |   0.71 |   8.60 |
|  2698 | G338.2278-0.1194 | 250.2039 | -46.6638 |   26 |   23 | 143 |   25 |   0.57 |   0.93 |   8.81 |
|  2699 | G338.2409-0.1910 | 250.2948 | -46.7013 |   23 |   19 |  84 |   21 |   0.58 |   0.68 |   8.43 |
|  2700 | G338.2713+0.5199 | 249.5534 | -46.2060 |   28 |   25 | 131 |   26 |   1.13 |   2.16 |  17.39 |
|  2701 | G338.2736-0.2954 | 250.4407 | -46.7458 |   44 |   19 |  85 |   29 |   0.52 |   1.19 |   8.16 |
|  2703 | G338.2794+0.1244 | 249.9883 | -46.4634 |   28 |   24 | 131 |   26 |   0.53 |   0.96 |   8.03 |
|  2704 | G338.2810+0.5419 | 249.5390 | -46.1840 |   34 |   24 | 102 |   29 |   2.06 |   4.61 |  31.61 |
|  2707 | G338.2876+0.1207 | 250.0002 | -46.4597 |   32 |   25 | -15 |   28 |   3.14 |   6.79 |  43.22 |
|  2709 | G338.2942+0.1291 | 249.9974 | -46.4492 |   28 |   25 |  65 |   26 |   0.57 |   1.05 |   7.99 |
|  2711 | G338.2987+0.5721 | 249.5237 | -46.1506 |   42 |   19 | 145 |   28 |   0.53 |   1.15 |   7.95 |
|  2713 | G338.3058+0.1526 | 249.9832 | -46.4250 |   24 |   22 |  36 |   23 |   1.14 |   1.56 |  17.16 |
|  2714 | G338.3074+0.0059 | 250.1440 | -46.5211 |   34 |   23 | 132 |   28 |   0.61 |   1.29 |   9.20 |
|  2715 | G338.3105+0.5792 | 249.5276 | -46.1371 |   35 |   20 | 141 |   27 |   0.55 |   1.07 |   8.54 |
|  2718 | G338.3250+0.1539 | 250.0002 | -46.4097 |   25 |   23 |   8 |   24 |   1.23 |   1.91 |  16.88 |
|  2719 | G338.3250+0.1797 | 249.9723 | -46.3926 |   39 |   24 |  35 |   31 |   0.87 |   2.20 |  12.27 |
|  2720 | G338.3271-0.4096 | 250.6175 | -46.7808 |   36 |   27 | -20 |   32 |   0.94 |   2.54 |  13.45 |
|  2721 | G338.3325+0.1314 | 250.0319 | -46.4191 |   31 |   23 | -19 |   27 |   4.21 |   8.04 |  55.38 |
|  2722 | G338.3383+0.6090 | 249.5223 | -46.0966 |   35 |   32 | -27 |   33 |   0.94 |   2.81 |  13.95 |
|  2723 | G338.3463+0.1357 | 250.0405 | -46.4059 |   32 |   32 | 102 |   32 |   1.24 |   3.43 |  18.03 |
|  2725 | G338.3543+0.1483 | 250.0345 | -46.3915 |   42 |   37 | 112 |   40 |   0.88 |   3.75 |  12.47 |
|  2726 | G338.3555+0.1822 | 249.9989 | -46.3682 |   34 |   19 |  78 |   25 |   0.65 |   1.13 |   9.71 |
|  2728 | G338.3740-0.1519 | 250.3801 | -46.5756 |   24 |   22 |  62 |   23 |   0.66 |   0.97 |  10.35 |
|  2731 | G338.3827+0.0627 | 250.1547 | -46.4271 |   28 |   23 |  12 |   25 |   0.72 |   1.23 |   9.79 |
|  2732 | G338.3843+0.0118 | 250.2117 | -46.4596 |   43 |   25 | 125 |   33 |   0.77 |   2.26 |  11.15 |
|  2733 | G338.3882+0.1622 | 250.0520 | -46.3570 |   21 |   19 | 141 |   20 |   1.24 |   1.37 |  16.59 |
|  2734 | G338.3908+0.1415 | 250.0770 | -46.3688 |   30 |   21 |  15 |   25 |   0.61 |   1.02 |   8.52 |
|  2735 | G338.3912+0.1718 | 250.0446 | -46.3484 |   53 |   31 | 130 |   40 |   1.97 |   8.69 |  28.09 |
|  2736 | G338.3922+0.2186 | 249.9949 | -46.3165 |   40 |   26 | 120 |   32 |   0.85 |   2.42 |  12.00 |
|  2738 | G338.3937-0.4053 | 250.6767 | -46.7278 |   42 |   31 |  72 |   36 |   0.87 |   3.01 |  11.91 |
|  2740 | G338.3948+0.0641 | 250.1648 | -46.4171 |   35 |   33 |  97 |   34 |   0.98 |   3.08 |  13.67 |
|  2741 | G338.3956-0.0083 | 250.2444 | -46.4645 |   21 |   21 | 114 |   21 |   0.61 |   0.74 |   8.99 |
|  2742 | G338.4002+0.1779 | 250.0467 | -46.3376 |   36 |   19 | 105 |   26 |   0.54 |   0.99 |   7.69 |
|  2743 | G338.4010+0.0573 | 250.1782 | -46.4169 |   20 |   19 | 101 |   19 |   0.59 |   0.60 |   8.01 |
|  2744 | G338.4020+0.0328 | 250.2058 | -46.4324 |   28 |   24 |  64 |   26 |   1.81 |   3.31 |  24.79 |
|  2745 | G338.4057-0.2047 | 250.4683 | -46.5866 |   40 |   28 | 117 |   34 |   1.11 |   3.41 |  16.01 |
|  2746 | G338.4091+0.1856 | 250.0468 | -46.3258 |   51 |   26 | 136 |   36 |   1.00 |   3.61 |  14.64 |
|  2747 | G338.4118+0.1956 | 250.0386 | -46.3171 |   32 |   24 | 128 |   28 |   0.69 |   1.45 |  10.23 |
|  2749 | G338.4236-0.4101 | 250.7106 | -46.7084 |   28 |   26 | 111 |   27 |   0.71 |   1.39 |  10.52 |
|  2751 | G338.4286+0.0524 | 250.2100 | -46.3995 |   24 |   22 |  -3 |   23 |   2.75 |   3.88 |  37.73 |
|  2753 | G338.4339+0.0122 | 250.2589 | -46.4221 |   32 |   24 |  47 |   28 |   2.86 |   5.89 |  41.03 |
|  2754 | G338.4349+0.0572 | 250.2108 | -46.3916 |   32 |   31 |  10 |   31 |   4.07 |  10.93 |  55.31 |
|  2755 | G338.4411+0.0976 | 250.1729 | -46.3602 |   45 |   31 |  64 |   37 |   0.63 |   2.37 |   9.40 |
|  2757 | G338.4451-0.2494 | 250.5550 | -46.5865 |   30 |   28 | 115 |   29 |   0.51 |   1.15 |   7.57 |
|  2758 | G338.4460-0.0064 | 250.2907 | -46.4254 |   28 |   21 |  18 |   24 |   0.75 |   1.19 |  11.34 |
|  2759 | G338.4470+0.0669 | 250.2120 | -46.3761 |   26 |   22 | 128 |   24 |   0.88 |   1.38 |  12.72 |
|  2762 | G338.4556-0.7208 | 251.0840 | -46.8880 |   46 |   22 |  28 |   32 |   0.61 |   1.64 |   9.49 |
|  2764 | G338.4598+0.0239 | 250.2709 | -46.3950 |   45 |   28 |  86 |   36 |   2.02 |   6.97 |  29.30 |
|  2765 | G338.4610-0.2582 | 250.5799 | -46.5803 |   26 |   20 |  50 |   23 |   0.67 |   0.96 |   8.90 |
|  2766 | G338.4610-0.2449 | 250.5654 | -46.5716 |   29 |   24 |  93 |   26 |   2.28 |   4.27 |  30.11 |
|  2767 | G338.4667+0.0151 | 250.2872 | -46.3956 |   36 |   23 | -20 |   29 |   0.78 |   1.79 |  11.52 |
|  2768 | G338.4727+0.2894 | 249.9956 | -46.2094 |   25 |   25 |  53 |   25 |   1.75 |   2.97 |  24.42 |
|  2769 | G338.4757+0.0302 | 250.2793 | -46.3789 |   46 |   37 | 131 |   41 |   1.17 |   5.43 |  17.55 |
|  2772 | G338.4888+0.0289 | 250.2934 | -46.3700 |   38 |   38 |  80 |   38 |   0.87 |   3.47 |  11.98 |
|  2773 | G338.4940+0.0429 | 250.2831 | -46.3568 |   42 |   36 |  93 |   39 |   1.86 |   7.67 |  27.94 |
|  2774 | G338.4980+0.2079 | 250.1079 | -46.2445 |   29 |   25 |   4 |   27 |   1.22 |   2.41 |  18.02 |
|  2778 | G338.5236+0.2145 | 250.1254 | -46.2210 |   29 |   22 |  33 |   25 |   0.77 |   1.32 |  11.71 |
|  2786 | G338.5624+0.2167 | 250.1601 | -46.1904 |   26 |   24 |  32 |   25 |   1.86 |   3.17 |  27.28 |
|  2789 | G338.5681+0.1094 | 250.2819 | -46.2572 |   29 |   26 |  18 |   27 |   2.36 |   4.81 |  37.36 |
|  2790 | G338.5691-0.1445 | 250.5591 | -46.4241 |   27 |   24 |  49 |   26 |   3.50 |   6.18 |  54.28 |
|  2792 | G338.5750+0.1044 | 250.2939 | -46.2553 |   30 |   19 | 118 |   24 |   0.76 |   1.19 |  11.75 |
|  2793 | G338.5781-0.0158 | 250.4275 | -46.3324 |   41 |   27 |  -2 |   33 |   0.74 |   2.19 |  12.30 |
|  2794 | G338.5786+0.0514 | 250.3549 | -46.2877 |   27 |   27 | -50 |   27 |   0.89 |   1.76 |  13.91 |
|  2796 | G338.5851+0.0477 | 250.3651 | -46.2853 |   25 |   22 |  94 |   23 |   0.65 |   0.96 |  10.55 |
|  2799 | G338.5953+0.0252 | 250.3994 | -46.2924 |   36 |   24 |  75 |   30 |   0.56 |   1.32 |   8.68 |
|  2800 | G338.5967-0.0020 | 250.4301 | -46.3094 |   34 |   27 | -17 |   31 |   1.42 |   3.60 |  22.97 |
|  2801 | G338.6209+0.0228 | 250.4264 | -46.2748 |   40 |   24 |   6 |   31 |   0.97 |   2.58 |  15.10 |
|  2808 | G338.6822-0.0842 | 250.6013 | -46.2993 |   26 |   23 | 140 |   25 |   1.12 |   1.83 |  17.36 |
|  2814 | G338.7380+0.1743 | 250.3737 | -46.0869 |   24 |   22 |  72 |   23 |   0.54 |   0.78 |   8.67 |
|  2820 | G338.7851+0.4767 | 250.0924 | -45.8514 |   36 |   31 |  32 |   33 |   1.27 |   3.83 |  20.38 |
|  2823 | G338.8045+0.0889 | 250.5295 | -46.0932 |   30 |   24 |  53 |   27 |   0.54 |   1.04 |   8.34 |
|  2825 | G338.8337+0.4798 | 250.1353 | -45.8129 |   30 |   25 |  42 |   28 |   1.03 |   2.12 |  15.85 |
|  2828 | G338.8507+0.4084 | 250.2282 | -45.8475 |   32 |   26 |  31 |   29 |   2.71 |   6.19 |  40.16 |
|  2830 | G338.8688-0.4796 | 251.2112 | -46.4175 |   32 |   23 |  71 |   27 |   0.58 |   1.18 |   8.36 |
|  2831 | G338.8712+0.5592 | 250.0858 | -45.7322 |   70 |   23 |  32 |   40 |   0.65 |   2.79 |  10.18 |
|  2836 | G338.8878+0.5968 | 250.0612 | -45.6949 |   30 |   22 |  83 |   26 |   2.17 |   3.92 |  33.26 |
|  2840 | G338.8914+0.5777 | 250.0852 | -45.7048 |   36 |   30 |  61 |   32 |   1.12 |   3.21 |  16.63 |
|  2841 | G338.8992+0.5257 | 250.1484 | -45.7335 |   30 |   19 |  27 |   24 |   0.56 |   0.86 |   8.46 |
|  2844 | G338.9071-0.1985 | 250.9395 | -46.2048 |   42 |   27 | 120 |   34 |   0.68 |   2.08 |  10.27 |
|  2846 | G338.9099+0.5566 | 250.1253 | -45.7050 |   30 |   19 |  16 |   24 |   0.56 |   0.86 |   8.10 |
|  2848 | G338.9153+0.3980 | 250.3008 | -45.8060 |   34 |   30 |  29 |   32 |   0.92 |   2.57 |  13.20 |
|  2849 | G338.9166+0.3824 | 250.3189 | -45.8153 |   32 |   25 |  93 |   28 |   2.35 |   4.99 |  34.46 |
|  2850 | G338.9188+0.5494 | 250.1415 | -45.7030 |   30 |   19 |  35 |   24 |   4.74 |   7.36 |  50.86 |
|  2851 | G338.9243-0.0605 | 250.8055 | -46.1013 |   30 |   19 |  67 |   24 |   1.01 |   1.58 |  15.42 |
|  2852 | G338.9246+0.6240 | 250.0671 | -45.6492 |   26 |   26 |  97 |   26 |   1.64 |   2.93 |  21.76 |
|  2853 | G338.9249+0.5539 | 250.1424 | -45.6955 |   38 |   33 | 143 |   35 |  15.76 |  53.27 | 157.36 |
|  2854 | G338.9266+0.6329 | 250.0594 | -45.6419 |   37 |   27 |  76 |   32 |   5.46 |  14.91 |  69.46 |
|  2855 | G338.9275-0.5018 | 251.2911 | -46.3876 |   39 |   26 | 102 |   32 |   0.90 |   2.49 |  12.36 |
|  2856 | G338.9293-0.0802 | 250.8316 | -46.1104 |   35 |   31 | 123 |   33 |   0.54 |   1.58 |   8.14 |
|  2857 | G338.9304+0.3899 | 250.3239 | -45.8000 |   34 |   29 |  43 |   31 |   0.74 |   1.97 |  10.98 |
|  2859 | G338.9321+0.5489 | 250.1547 | -45.6935 |   32 |   19 | 127 |   25 |   2.21 |   3.62 |  22.08 |
|  2860 | G338.9329+0.3706 | 250.3470 | -45.8108 |   35 |   22 | 106 |   28 |   0.97 |   2.03 |  14.56 |
|  2863 | G338.9357-0.0621 | 250.8180 | -46.0937 |   24 |   22 |  51 |   23 |   1.71 |   2.52 |  25.19 |
|  2864 | G338.9362-0.4808 | 251.2762 | -46.3672 |   28 |   22 |  52 |   25 |   0.57 |   0.94 |   7.96 |
|  2865 | G338.9371-0.4919 | 251.2892 | -46.3738 |   41 |   34 | 134 |   37 |   1.39 |   5.21 |  19.84 |
|  2879 | G339.0510-0.1841 | 251.0598 | -46.0865 |   26 |   21 |  53 |   23 |   1.01 |   1.49 |  13.93 |
|  2881 | G339.0539-0.3162 | 251.2068 | -46.1707 |   29 |   22 |  64 |   25 |   1.02 |   1.73 |  14.22 |
|  2883 | G339.0644+0.1514 | 250.7079 | -45.8564 |   24 |   20 |  78 |   22 |   1.11 |   1.43 |  14.58 |
|  2886 | G339.0974+0.0608 | 250.8374 | -45.8911 |   22 |   21 | 144 |   22 |   0.53 |   0.67 |   6.86 |
|  2887 | G339.1041+0.1578 | 250.7386 | -45.8223 |   28 |   23 | 116 |   25 |   0.51 |   0.90 |   6.56 |
|  2888 | G339.1055+0.1479 | 250.7506 | -45.8278 |   30 |   28 |   7 |   29 |   1.79 |   4.04 |  22.56 |
|  2891 | G339.1762-0.3906 | 251.4034 | -46.1264 |   45 |   29 |   7 |   36 |   0.89 |   3.14 |  11.52 |
|  2892 | G339.2067-0.6594 | 251.7273 | -46.2778 |   40 |   28 | 120 |   33 |   0.55 |   1.65 |   6.64 |
|  2894 | G339.2211+0.2608 | 250.7375 | -45.6664 |   34 |   25 | 128 |   29 |   0.71 |   1.62 |   9.03 |
|  2897 | G339.2580-0.0069 | 251.0618 | -45.8141 |   35 |   26 | 101 |   30 |   0.60 |   1.47 |   7.51 |
|  2898 | G339.2833+0.1344 | 250.9323 | -45.7024 |   37 |   22 | 122 |   29 |   1.43 |   3.17 |  18.97 |
|  2899 | G339.2941+0.1383 | 250.9384 | -45.6917 |   34 |   21 |  57 |   26 |   0.86 |   1.62 |  11.04 |
|  2900 | G339.3007+0.3006 | 250.7694 | -45.5803 |   30 |   19 | -32 |   24 |   0.64 |   1.02 |   8.09 |
|  2901 | G339.3040+0.3116 | 250.7607 | -45.5706 |   52 |   20 | 101 |   33 |   1.04 |   3.00 |  12.72 |
|  2902 | G339.3052+0.3260 | 250.7463 | -45.5602 |   30 |   23 |  92 |   26 |   0.55 |   1.02 |   6.30 |
|  2905 | G339.3148+0.2296 | 250.8592 | -45.6162 |   44 |   33 | 128 |   38 |   0.51 |   2.05 |   6.78 |
|  2909 | G339.3645-0.1812 | 251.3510 | -45.8472 |   32 |   19 | 121 |   25 |   0.52 |   0.86 |   6.55 |
|  2910 | G339.4020-0.4154 | 251.6419 | -45.9708 |   35 |   30 |  51 |   32 |   0.52 |   1.47 |   6.91 |
|  2913 | G339.4664+0.0838 | 251.1586 | -45.5971 |   34 |   28 |  24 |   31 |   1.93 |   4.97 |  24.18 |
|  2915 | G339.4764+0.1847 | 251.0588 | -45.5236 |   27 |   24 | 111 |   26 |   2.83 |   5.02 |  35.83 |
|  2916 | G339.4772+0.0431 | 251.2127 | -45.6155 |   25 |   19 | 104 |   22 |   0.88 |   1.15 |  10.56 |
|  2917 | G339.4882+0.0911 | 251.1709 | -45.5758 |   34 |   22 | 138 |   27 |   1.15 |   2.35 |  15.17 |
|  2922 | G339.5723+0.0908 | 251.2496 | -45.5123 |   42 |   19 |  34 |   28 |   0.64 |   1.40 |   8.38 |
|  2923 | G339.5842-0.1283 | 251.4983 | -45.6459 |   29 |   29 |   4 |   29 |   3.43 |   7.85 |  42.48 |
|  2924 | G339.5884+0.0823 | 251.2739 | -45.5056 |   34 |   29 |  11 |   31 |   1.72 |   4.60 |  20.54 |
|  2926 | G339.6225-0.1220 | 251.5271 | -45.6127 |   35 |   29 |  36 |   31 |   2.95 |   7.93 |  34.87 |
|  2927 | G339.6334-0.1777 | 251.5978 | -45.6406 |   25 |   22 | 115 |   23 |   0.58 |   0.86 |   7.19 |
|  2928 | G339.6710-0.4258 | 251.9033 | -45.7726 |   38 |   27 |  12 |   32 |   0.59 |   1.66 |   7.29 |
|  2933 | G339.7075+0.1894 | 251.2688 | -45.3455 |   34 |   22 | 160 |   27 |   0.51 |   1.03 |   6.00 |
|  2936 | G339.7455+0.0940 | 251.4071 | -45.3788 |   31 |   25 | 114 |   28 |   0.91 |   1.96 |  10.29 |
|  2938 | G339.8326+0.6324 | 250.9094 | -44.9612 |   45 |   23 |  55 |   32 |   0.61 |   1.71 |   8.11 |
|  2939 | G339.8416+0.2914 | 251.2831 | -45.1773 |   32 |   25 | 159 |   28 |   0.58 |   1.25 |   6.97 |
|  2941 | G339.8561+0.2998 | 251.2877 | -45.1608 |   39 |   28 |  -6 |   33 |   1.11 |   3.32 |  14.36 |
|  2944 | G339.8827-0.5784 | 252.2659 | -45.7091 |   22 |   22 |  48 |   22 |   0.61 |   0.83 |   7.22 |
|  2947 | G339.9099+0.2387 | 251.4030 | -45.1598 |   32 |   22 |  50 |   26 |   0.78 |   1.47 |  10.95 |
|  2948 | G339.9218-0.5781 | 252.3017 | -45.6788 |   47 |   30 |  91 |   37 |   0.57 |   2.13 |   6.38 |
|  2951 | G339.9246-0.0840 | 251.7652 | -45.3581 |   31 |   26 | 139 |   29 |   2.54 |   5.69 |  30.86 |
|  2953 | G339.9432-0.0928 | 251.7919 | -45.3496 |   33 |   25 | 116 |   28 |   1.48 |   3.25 |  18.63 |
|  2954 | G339.9482-0.5389 | 252.2829 | -45.6334 |   28 |   26 | -32 |   27 |   3.06 |   6.02 |  34.88 |
|  2957 | G339.9517-0.5294 | 252.2757 | -45.6247 |   24 |   19 |  84 |   21 |   0.54 |   0.68 |   5.61 |
|  2958 | G339.9551+0.0596 | 251.6379 | -45.2418 |   32 |   27 | 126 |   29 |   1.55 |   3.65 |  20.60 |
|  2959 | G339.9564-0.5194 | 252.2691 | -45.6147 |   31 |   19 | 108 |   24 |   0.71 |   1.13 |   7.30 |
|  2960 | G339.9627-0.5426 | 252.3003 | -45.6248 |   39 |   22 |  94 |   29 |   1.28 |   2.99 |  13.81 |
|  2961 | G339.9677-0.1632 | 251.8910 | -45.3765 |   44 |   26 |  54 |   33 |   0.58 |   1.76 |   7.12 |
|  2962 | G339.9795-0.5396 | 252.3124 | -45.6099 |   27 |   26 | 130 |   27 |   1.55 |   2.99 |  17.02 |
|  2964 | G339.9858-0.4252 | 252.1931 | -45.5316 |   28 |   25 |  52 |   26 |   0.80 |   1.48 |   9.41 |
|  2967 | G340.0463-0.2443 | 252.0513 | -45.3688 |   32 |   19 |  83 |   25 |   1.03 |   1.68 |  12.84 |
|  2968 | G340.0542-0.2442 | 252.0585 | -45.3627 |   27 |   25 | 136 |   26 |  11.05 |  20.22 | 127.24 |
|  2969 | G340.0556-0.2530 | 252.0693 | -45.3673 |   34 |   24 |   7 |   29 |   0.95 |   2.11 |  10.86 |
|  2970 | G340.0576-0.2364 | 252.0531 | -45.3550 |   32 |   20 |  -4 |   25 |   0.52 |   0.89 |   5.95 |
|  2971 | G340.0591-0.2234 | 252.0403 | -45.3456 |   30 |   21 |  98 |   25 |   0.76 |   1.30 |  10.05 |
|  2972 | G340.0645+0.9268 | 250.8107 | -44.5930 |   29 |   19 | 113 |   23 |   0.55 |   0.82 |   8.85 |
|  2973 | G340.0667-0.2382 | 252.0634 | -45.3493 |   25 |   25 |  58 |   25 |   0.78 |   1.28 |  12.69 |
|  2975 | G340.0725+0.9273 | 250.8176 | -44.5867 |   34 |   34 |  13 |   34 |   2.40 |   7.74 |  37.35 |
|  2978 | G340.0930-0.8540 | 252.7621 | -45.7240 |   41 |   26 |  66 |   32 |   0.59 |   1.67 |   6.80 |
|  2986 | G340.1185-0.0213 | 251.8756 | -45.1697 |   31 |   21 |  79 |   25 |   0.67 |   1.17 |  11.14 |
|  2998 | G340.1815-0.0473 | 251.9614 | -45.1385 |   35 |   24 |  35 |   29 |   0.80 |   1.78 |  14.31 |
|  3001 | G340.2060-0.0496 | 251.9863 | -45.1212 |   36 |   28 |  32 |   32 |   0.95 |   2.63 |  17.57 |
|  3004 | G340.2157-0.1212 | 252.0728 | -45.1599 |   34 |   30 | 147 |   32 |   0.59 |   1.63 |  11.25 |
|  3007 | G340.2230-0.1681 | 252.1303 | -45.1846 |   34 |   27 |  56 |   30 |   0.65 |   1.58 |  12.51 |
|  3009 | G340.2316-0.1456 | 252.1137 | -45.1635 |   38 |   23 |  89 |   30 |   0.63 |   1.50 |  10.62 |
|  3010 | G340.2380-0.3692 | 252.3629 | -45.3024 |   26 |   21 |  63 |   23 |   2.20 |   3.22 |  37.62 |
