   Long    Lat   Vlsr       Dist sigma_D    Prob     Arm     ExtraInformation
 353.01   0.98   -4.2       1.34    0.14    1.00     ...?    G353.0114+0.9828    
 353.02   0.97   -4.2       1.34    0.14    1.00     ...?    G353.0195+0.9750    
 353.03   0.57   -2.1       1.34    0.14    1.00     ...?    G353.0325+0.5659    
 353.04   0.69   -4.4       1.35    0.14    1.00     ...?    G353.0427+0.6905    
 353.05   0.68   -3.5       1.35    0.14    1.00     ...?    G353.0536+0.6812    
 353.07   0.50   -3.3       1.35    0.14    1.00     ...?    G353.0701+0.5051    
 353.08   0.42    1.7       1.34    0.14    0.56     ...?    G353.0785+0.4196    
 353.09   0.97   -4.6       1.35    0.14    1.00     ...?    G353.0919+0.9713    
 353.28   0.85   -5.3       1.35    0.14    1.00     ...?    G353.2777+0.8504    
 353.31   0.66   -3.5       1.35    0.14    1.00     ...?    G353.3096+0.6616    
 353.43  -0.19  -82.6       8.80    0.38    0.55     ...     G353.4298-0.1939    
 353.57  -0.08  -56.7       9.99    0.45    0.64     ...     G353.5734-0.0798    
 354.94  -0.54   -5.5       1.35    0.13    0.47     ...?    G354.9437-0.5381    
 355.26   0.36   71.1       5.43    0.21    0.29     ...?    G355.2569+0.3646    
 356.23   0.71  113.2       5.36    1.16    0.51     ...?    G356.2261+0.7052    
 358.57  -0.31   -4.2      18.29    2.10    0.38     ...?    G358.5723-0.3058    
 358.65  -0.79    3.5      23.03    4.12    0.60     ...??   G358.6500-0.7941    
 359.36  -0.01 -102.9       9.72    2.37    0.50     ...?    G359.3608-0.0077    
 359.62   0.02  -75.2       5.20    0.23    0.45     3kN     G359.6246+0.0235    
 359.69  -0.07   12.1      14.85    2.36    0.73     ...?    G359.6930-0.0658    
 359.74   0.03   79.1      12.62    4.59    0.87     ...?    G359.7426+0.0302    
 359.85  -0.33   14.9       2.82    0.22    0.50     ...?    G359.8514-0.3319    
