   Long    Lat   Vlsr       Dist sigma_D    Prob     Arm     ExtraInformation
  15.26  -0.62   21.6       1.86    0.10    0.64     SgN     G015.2576-0.6158    
  15.50  -0.42   39.7       3.15    0.38    0.90     ScN     G015.5022-0.4201    
  15.72  -0.59   17.8       1.83    0.07    0.71     SgN     G015.7173-0.5948    
  16.30  -0.53   38.3       3.20    0.27    0.87     ScN     G016.3013-0.5251    
  16.42  -0.63   41.1       3.35    0.21    1.00     ScN     G016.4210-0.6344    
  17.07   0.82   20.0       1.85    0.13    1.00     SgN     G017.0658+0.8213    
  18.06  -0.31   46.9       3.39    0.18    1.00     ScN     G018.0641-0.3081    
  18.10  -0.35   45.4       3.37    0.18    1.00     ScN     G018.0982-0.3545    
  18.10  -0.34   56.8       3.55    0.24    0.68     ScN     G018.0986-0.3431    
  18.10  -0.31   51.0       3.45    0.20    0.91     ScN     G018.1042-0.3058    
  18.18  -0.30   49.1       3.41    0.19    1.00     ScN     G018.1750-0.2985    
  18.80  -0.30   65.5       4.95    0.31    0.59     Nor     G018.8008-0.2958    
  18.84  -0.38   61.0       3.60    0.26    0.60     ScN     G018.8441-0.3758    
  18.93  -0.03   43.6       3.33    0.18    0.80     ScN     G018.9295-0.0289    
  19.57  -0.10   63.2       5.11    0.36    0.47     Nor     G019.5732-0.1006    
  19.59  -0.08   60.8      11.57    0.42    0.38     ...     G019.5892-0.0799    
  22.37   0.38   84.2       5.42    0.36    0.85     Nor     G022.3685+0.3814    
  22.53  -0.19   75.9       4.98    0.59    0.81     Nor     G022.5309-0.1927    
  22.69  -0.45   76.8       4.90    0.61    1.00     Nor     G022.6919-0.4519    
  22.72  -0.27   72.8       4.64    0.68    0.89     Nor     G022.7215-0.2733    
  23.27  -0.36   75.6       4.52    0.72    0.66     ScN     G023.2674-0.3559    
  23.27  -0.21   77.3       4.74    0.57    0.58     ...     G023.2694-0.2097    
  23.28  -0.22   78.4       4.89    0.60    0.61     Nor     G023.2778-0.2149    
  23.28  -0.20   78.0       4.83    0.58    0.58     Nor     G023.2826-0.2007    
  23.30   0.06   54.8       3.63    0.26    0.70     ScN     G023.2957+0.0556    
  23.30  -0.25   82.2       5.44    0.51    0.89     Nor     G023.2989-0.2501    
  23.32  -0.08   96.9       5.82    0.25    0.91     Nor     G023.3222-0.0775    
  23.33  -0.21   79.4       5.33    0.66    0.87     Nor     G023.3339-0.2111    
  23.38  -0.13   98.4       5.85    0.24    0.95     Nor     G023.3760-0.1293    
  23.46  -0.23  103.4       5.93    0.23    1.00     Nor     G023.4556-0.2301    
