|             Name |       ra |      dec | amaj | amin |  PA | FWHM |   Sp |  Sint |   S_N | nYSOs | nMIPS | nSIMBAD |
| G003.2110+0.6465 |   267.65 | -25.8529 |   43 |   38 | 116 |   40 | 0.56 |  2.44 |  8.74 |     0 |     0 |       0 |
| G003.2278+0.4924 | 267.8067 | -25.9173 |   55 |   30 |  59 |   41 | 0.52 |  2.38 |  8.24 |     0 |     0 |       0 |
| G003.2413+0.6334 | 267.6797 | -25.8336 |   38 |   24 |  18 |   30 | 0.67 |  1.64 | 10.56 |     0 |     0 |       0 |
| G003.2554+0.4120 | 267.8993 | -25.9346 |   37 |   32 |  -6 |   34 | 0.59 |  1.86 |  9.57 |     0 |     0 |       0 |
| G003.2702+0.4446 | 267.8765 | -25.9053 |   56 |   39 | -14 |   47 | 0.53 |  3.15 |  8.56 |     0 |     0 |       0 |
| G003.2739+0.5804 | 267.7489 | -25.8327 |   38 |   32 |  90 |   35 | 0.54 |  1.77 |   8.5 |     0 |     0 |       0 |
| G003.3056-0.4044 | 268.7109 |  -26.306 |   51 |   21 |  50 |   33 | 0.53 |  1.52 |  8.58 |     0 |     0 |       0 |
| G003.3249+0.4418 | 267.9102 | -25.8597 |   43 |   38 |  71 |   40 | 0.64 |  2.86 |  9.82 |     0 |     0 |       0 |
| G003.3373+0.4191 |  267.939 | -25.8606 |   40 |   26 |  87 |   32 | 0.72 |  2.07 | 11.54 |     0 |     0 |       0 |
| G003.3574+0.4819 | 267.8904 | -25.8112 |   30 |   19 |  96 |   24 | 0.54 |  0.83 |  8.45 |     0 |     0 |       0 |
| G003.3676+0.3988 | 267.9755 | -25.8449 |   54 |   41 |   7 |   47 | 0.55 |  3.31 |  8.44 |     0 |     0 |       0 |
| G003.3862+0.3080 | 268.0729 | -25.8752 |   42 |   28 | 111 |   34 | 0.52 |  1.62 |  8.26 |     0 |     0 |       0 |
| G003.4350-0.5719 |  268.945 | -26.2788 |   33 |   26 |  44 |   29 | 0.66 |  1.51 |  9.73 |     0 |     0 |       0 |
| G004.4076+0.0993 | 268.8458 | -25.1005 |   23 |   19 | 133 |   21 | 0.55 |  0.65 |  8.91 |     0 |     0 |       0 |
| G004.4341+0.1294 | 268.8317 | -25.0624 |   34 |   23 | 126 |   28 | 3.09 |  6.55 | 46.44 |     0 |     0 |       0 |
| G004.5229-0.8292 | 269.7982 | -25.4661 |   34 |   24 | 106 |   29 | 0.53 |  1.18 |  8.92 |     0 |     0 |       0 |
| G004.7473-0.7623 | 269.8576 | -25.2383 |   41 |   31 |  97 |   36 | 0.51 |  1.79 |  8.99 |     0 |     0 |       0 |
| G004.8168+0.2288 | 268.9497 | -24.6818 |   31 |   22 |  85 |   26 | 0.55 |  1.04 |  9.68 |     0 |     0 |       0 |
| G005.3876+0.1874 | 269.3042 |  -24.209 |   31 |   20 |  80 |   25 | 0.67 |   1.1 |  9.13 |     0 |     0 |       0 |
| G005.8243-0.5221 | 270.2172 | -24.1843 |   33 |   27 | 132 |   30 | 0.86 |  2.09 | 11.48 |     0 |     0 |       0 |
| G005.8292-0.4071 | 270.1104 |  -24.123 |   23 |   19 | 122 |   21 | 0.53 |  0.62 |  6.88 |     0 |     0 |       0 |
| G005.8357-0.9958 | 270.6751 | -24.4086 |   41 |   29 | 144 |   35 | 0.57 |  1.89 |   5.9 |     0 |     0 |       0 |
| G005.8421-0.4018 | 270.1124 | -24.1091 |   22 |   19 |  17 |   21 | 0.59 |  0.68 |  7.16 |     0 |     0 |       0 |
| G005.8523-0.2397 | 269.9639 | -24.0197 |   36 |   32 | 154 |   34 |  0.6 |   1.9 |  8.06 |     0 |     0 |       0 |
| G005.8799-0.3591 | 270.0923 | -24.0552 |   33 |   25 | 147 |   29 | 0.98 |  2.18 | 10.47 |     0 |     0 |       0 |
| G005.8893-0.4565 |   270.19 | -24.0953 |   28 |   19 | 141 |   23 | 1.02 |  1.48 | 11.64 |     0 |     0 |       0 |
| G005.8917-0.3567 | 270.0964 | -24.0437 |   48 |   19 |  19 |   30 | 0.65 |  1.62 |  8.26 |     0 |     0 |       0 |
| G005.9133-0.9883 | 270.7099 | -24.3373 |   39 |   31 | 109 |   35 | 0.54 |  1.76 |  5.77 |     0 |     0 |       0 |
| G005.9394-0.3754 | 270.1402 | -24.0115 |   43 |   19 |  34 |   29 | 0.64 |  1.44 |  8.43 |     0 |     0 |       0 |
| G005.9429-0.4221 | 270.1864 | -24.0317 |   20 |   19 | 134 |   20 | 0.61 |  0.63 |  7.43 |     0 |     0 |       0 |
| G005.9547-0.4768 | 270.2449 | -24.0486 |   29 |   22 |  -4 |   25 | 0.67 |  1.15 |  8.64 |     0 |     0 |       0 |
| G006.0979-0.0896 |  269.955 |  -23.732 |   26 |   21 | 117 |   23 | 0.52 |  0.77 |   7.1 |     0 |     0 |       0 |
| G006.1099-0.6397 | 270.4839 | -23.9943 |   35 |   29 | -23 |   32 | 0.75 |  2.06 | 10.35 |     0 |     0 |       0 |
| G006.1204-0.6486 |  270.498 | -23.9896 |   46 |   28 |  83 |   36 | 0.73 |  2.61 |   9.1 |     0 |     0 |       0 |
| G006.2130-0.5937 | 270.4959 |  -23.882 |   39 |   19 |  98 |   27 | 0.65 |  1.29 |  7.78 |     0 |     0 |       0 |
| G006.2213-0.0471 | 269.9818 | -23.6039 |   32 |   24 |  46 |   28 | 1.09 |  2.32 | 13.79 |     0 |     0 |       0 |
| G006.4609-0.3902 | 270.4365 |  -23.566 |   27 |   22 | 119 |   24 | 0.51 |  0.82 |  6.42 |     0 |     0 |       0 |
| G006.4916-0.3322 | 270.3981 | -23.5105 |   28 |   20 | -12 |   24 | 0.54 |  0.81 |  6.94 |     0 |     0 |       0 |
| G006.4982-0.3222 | 270.3922 | -23.4999 |   45 |   32 | -40 |   38 | 0.79 |  3.08 |  9.96 |     0 |     0 |       0 |
| G006.9026-0.2229 | 270.5159 | -23.0992 |   28 |   20 | 102 |   24 | 0.77 |  1.16 |   9.1 |     0 |     0 |       0 |
| G007.2503-0.0792 | 270.5667 | -22.7259 |   26 |   21 |  42 |   23 | 0.54 |   0.8 |  6.61 |     0 |     0 |       0 |
| G007.2677-0.5295 | 271.0013 | -22.9326 |   38 |   32 |  34 |   35 | 1.46 |  4.78 | 15.97 |     0 |     0 |       0 |
| G007.2761-0.1662 | 270.6625 | -22.7465 |   38 |   26 |  58 |   32 | 0.87 |  2.36 | 11.02 |     0 |     0 |       0 |
| G007.3449-0.0001 | 270.5428 | -22.6046 |   34 |   28 |  58 |   31 | 0.59 |  1.55 |   7.7 |     0 |     0 |       0 |
| G007.3655+0.6974 | 269.8986 | -22.2409 |   41 |   26 |  38 |   33 | 0.57 |  1.66 |  7.32 |     0 |     0 |       0 |
| G007.6359-0.1491 | 270.8384 | -22.4249 |   35 |   22 |  64 |   28 | 0.61 |  1.28 |  7.41 |     0 |     0 |       0 |
| G007.9764-0.3578 | 271.2157 | -22.2309 |   36 |   26 |  76 |   31 | 0.66 |   1.7 |  7.82 |     0 |     0 |       0 |
| G008.0013-0.2695 | 271.1458 | -22.1659 |   32 |   19 |  83 |   25 | 0.52 |  0.86 |  6.18 |     0 |     0 |       0 |
| G008.0195-0.1724 | 271.0641 | -22.1023 |   41 |   26 | 110 |   33 | 0.61 |  1.78 |  7.39 |     0 |     0 |       0 |
| G008.0495-0.2433 | 271.1467 |  -22.111 |   26 |   24 | 119 |   25 |  1.0 |   1.7 | 12.95 |     0 |     0 |       0 |
| G008.0930+0.2255 | 270.7296 | -21.8426 |   46 |   21 |  82 |   31 | 0.56 |  1.48 |  7.61 |     0 |     0 |       0 |
| G008.1102+0.2591 | 270.7072 | -21.8111 |   25 |   23 | -22 |   24 | 0.55 |  0.83 |  7.35 |     0 |     0 |       0 |
| G008.1232+0.2573 | 270.7158 | -21.8007 |   33 |   23 |  62 |   28 | 0.82 |  1.69 | 11.45 |     0 |     0 |       0 |
| G008.1414+0.2076 |  270.772 | -21.8093 |   24 |   19 | 134 |   21 | 0.66 |   0.8 |  8.23 |     0 |     0 |       0 |
| G008.2629+0.1680 | 270.8735 |  -21.723 |   51 |   20 |  11 |   32 | 0.51 |  1.38 |  6.19 |     0 |     0 |       0 |
| G008.3295-0.0752 | 271.1368 | -21.7846 |   27 |   20 |  74 |   23 | 0.64 |  0.92 |  7.92 |     0 |     0 |       0 |
| G008.4328-0.2806 | 271.3842 | -21.7951 |   27 |   19 | 123 |   23 | 0.62 |  0.87 |  7.88 |     0 |     0 |       0 |
| G008.4691-0.2685 | 271.3919 | -21.7575 |   40 |   21 |  32 |   29 | 0.59 |  1.32 |  7.15 |     0 |     0 |       0 |
| G008.5441-0.3421 | 271.5005 | -21.7281 |   34 |   26 | 122 |   30 | 0.63 |  1.51 |  7.73 |     0 |     0 |       0 |
| G008.7264-0.3959 | 271.6468 | -21.5952 |   28 |   21 | 108 |   24 | 0.95 |   1.5 | 11.53 |     0 |     0 |       0 |
| G009.5776-0.6599 | 272.3382 | -20.9795 |   40 |   23 |  69 |   30 | 0.53 |  1.31 |  7.95 |     0 |     0 |       0 |
| G009.8282-0.7268 | 272.5306 | -20.7925 |   28 |   26 | 112 |   27 | 0.62 |  1.26 |  9.13 |     0 |     0 |       0 |
| G009.9517-0.3649 |  272.256 | -20.5094 |   35 |   27 |  15 |   31 | 0.56 |  1.46 |  8.64 |     0 |     0 |       0 |
| G010.0676-0.4076 | 272.3557 | -20.4286 |   36 |   24 |  72 |   29 | 0.61 |  1.42 |  9.08 |     0 |     0 |       0 |
| G010.1065-0.4168 | 272.3844 |  -20.399 |   41 |   27 |  -2 |   33 | 0.56 |  1.69 |  8.21 |     0 |     0 |       0 |
| G010.1365-0.4108 | 272.3943 | -20.3698 |   41 |   21 |  -1 |   30 | 0.63 |  1.51 |  9.03 |     0 |     0 |       0 |
| G010.1839-0.4050 | 272.4133 | -20.3256 |   34 |   19 |   9 |   26 | 0.72 |  1.28 |  9.07 |     0 |     0 |       0 |
| G010.1904-0.3884 | 272.4012 | -20.3118 |   28 |   25 |  93 |   26 |  1.4 |  2.62 | 17.52 |     0 |     0 |       0 |
| G010.1976-0.2876 | 272.3108 | -20.2568 |   29 |   19 | 137 |   23 | 0.52 |  0.77 |  6.79 |     0 |     0 |       0 |
| G010.1984-0.3164 |  272.338 |   -20.27 |   41 |   25 |  82 |   32 | 0.66 |  1.82 |  8.56 |     0 |     0 |       0 |
| G010.2144-0.3051 | 272.3358 | -20.2506 |   22 |   19 | 108 |   20 | 1.35 |  1.49 | 17.33 |     0 |     0 |       0 |
| G010.2190-0.3632 | 272.3924 | -20.2746 |   34 |   23 |  65 |   28 | 0.96 |  2.06 | 12.91 |     0 |     0 |       0 |
| G010.2377+0.1144 | 271.9571 | -20.0267 |   33 |   23 | -36 |   28 | 0.62 |   1.3 |   8.3 |     0 |     0 |       0 |
| G010.2488-0.1101 | 272.1718 | -20.1259 |   31 |   20 |  10 |   25 | 0.75 |  1.24 | 10.51 |     0 |     0 |       0 |
| G010.3442-0.1504 | 272.2586 | -20.0621 |   34 |   19 | 146 |   25 | 0.52 |   0.9 |  6.38 |     0 |     0 |       0 |
| G010.5743-0.7905 | 272.9739 | -20.1695 |   33 |   25 | 103 |   29 | 0.53 |  1.19 |  6.93 |     0 |     0 |       0 |
| G010.5785-0.3491 | 272.5642 | -19.9531 |   42 |   24 |  20 |   32 |  0.6 |  1.64 |  7.36 |     0 |     0 |       0 |
| G010.5959-0.3638 | 272.5869 |  -19.945 |   32 |   19 |  71 |   25 |  0.6 |  0.99 |  6.98 |     0 |     0 |       0 |
| G010.6138-0.3305 |  272.565 | -19.9132 |   38 |   28 |  80 |   32 | 1.34 |  3.84 | 16.48 |     0 |     0 |       0 |
| G010.6174-0.0304 | 272.2877 |  -19.765 |   37 |   21 |  42 |   28 | 0.53 |  1.13 |  6.61 |     0 |     0 |       0 |
| G010.6233-0.5091 | 272.7365 |  -19.991 |   45 |   29 | 115 |   37 | 0.55 |  1.97 |  6.41 |     0 |     0 |       0 |
| G010.6333-0.4978 |  272.731 | -19.9768 |   29 |   20 | 137 |   24 | 0.71 |  1.15 |  8.59 |     0 |     0 |       0 |
| G010.6627+0.0811 | 272.2074 | -19.6713 |   44 |   29 | 109 |   36 | 0.57 |   2.0 |  6.99 |     0 |     0 |       0 |
| G010.6847-0.3071 | 272.5797 | -19.8398 |   39 |   23 | 138 |   30 | 0.77 |   1.9 |  9.59 |     0 |     0 |       0 |
| G010.9823-0.3677 | 272.7886 | -19.6084 |   33 |   28 | 148 |   30 | 0.66 |  1.65 |  7.83 |     0 |     0 |       0 |
| G011.0002-0.3720 | 272.8018 | -19.5947 |   28 |   26 |  96 |   27 | 0.57 |  1.11 |  7.07 |     0 |     0 |       0 |
| G011.0970-0.1093 | 272.6071 | -19.3832 |   39 |   21 |  49 |   28 | 0.61 |  1.34 |  6.52 |     0 |     0 |       0 |
| G011.1129-0.1222 | 272.6272 | -19.3756 |   21 |   19 |  39 |   20 | 0.51 |  0.54 |  6.08 |     0 |     0 |       0 |
| G011.3811+0.8103 | 271.9017 | -18.6892 |   29 |   24 | 162 |   26 | 0.66 |  1.25 |  8.37 |     0 |     0 |       0 |
| G011.9028-0.1307 | 273.0375 | -18.6874 |   22 |   19 |  87 |   21 | 0.53 |  0.61 |  5.82 |     0 |     0 |       0 |
| G011.9111-0.6174 |  273.493 | -18.9135 |   25 |   19 |  70 |   22 | 0.74 |  0.96 |  8.72 |     0 |     0 |       0 |
| G011.9191+0.7536 | 272.2293 | -18.2464 |   32 |   23 |  90 |   27 | 1.22 |  2.42 | 17.24 |     0 |     0 |       0 |
| G011.9266-0.6139 | 273.4975 | -18.8982 |   30 |   20 | 117 |   24 | 0.94 |  1.52 | 10.78 |     0 |     0 |       0 |
| G011.9414-0.2590 | 273.1759 | -18.7151 |   31 |   24 |  21 |   27 | 1.32 |  2.67 |  15.4 |     0 |     0 |       0 |
| G012.3628+0.4214 | 272.7609 | -18.0185 |   26 |   26 | -46 |   26 | 0.72 |  1.35 |  9.76 |     0 |     0 |       0 |
| G012.4132+0.4969 | 272.7169 |  -17.938 |   25 |   19 |  67 |   22 | 0.51 |  0.66 |  5.86 |     0 |     0 |       0 |
| G012.6726-0.1886 | 273.4799 | -18.0397 |   36 |   19 |  28 |   26 | 0.57 |  1.05 |  7.66 |     0 |     0 |       0 |
| G012.6738-0.0998 | 273.3987 | -17.9961 |   36 |   22 |  47 |   28 | 0.58 |  1.24 |  7.78 |     0 |     0 |       0 |
| G012.6826-0.1732 | 273.4708 | -18.0235 |   25 |   21 |  23 |   23 |  0.7 |  0.98 |  8.37 |     0 |     0 |       0 |
| G012.7025-0.1452 | 273.4549 | -17.9926 |   29 |   29 |  97 |   29 | 0.53 |  1.21 |  6.94 |     0 |     0 |       0 |
| G012.7359-0.1024 | 273.4323 | -17.9428 |   44 |   27 |  80 |   35 | 1.45 |  4.72 | 20.38 |     0 |     0 |       0 |
| G012.7442-0.1002 | 273.4344 | -17.9345 |   29 |   20 |  96 |   24 | 0.52 |  0.83 |  7.19 |     0 |     0 |       0 |
| G012.7731-0.2100 | 273.5504 | -17.9616 |   29 |   19 |  30 |   24 | 0.63 |  0.96 |  8.51 |     0 |     0 |       0 |
| G012.7859-0.1991 | 273.5466 | -17.9451 |   22 |   19 | 131 |   20 | 1.82 |  2.02 | 23.42 |     0 |     0 |       0 |
| G012.8572-0.2088 | 273.5914 | -17.8872 |   31 |   25 | -32 |   28 | 0.59 |  1.23 |  7.82 |     0 |     0 |       0 |
| G012.8920-0.2826 | 273.6771 | -17.8919 |   34 |   32 |  47 |   33 | 1.12 |  3.27 | 14.79 |     0 |     0 |       0 |
| G012.9013-0.2664 | 273.6667 |  -17.876 |   37 |   20 |  68 |   27 |  1.1 |  2.15 | 12.44 |     0 |     0 |       0 |
| G012.9156+0.4920 | 272.9753 |    -17.5 |   25 |   22 |  49 |   23 | 1.02 |  1.52 | 15.41 |     0 |     0 |       0 |
| G012.9459-0.2488 | 273.6729 | -17.8283 |   25 |   24 |  11 |   24 | 0.58 |  0.95 |   7.6 |     0 |     0 |       0 |
| G012.9674-0.2380 | 273.6737 | -17.8044 |   33 |   28 | 146 |   30 | 0.59 |  1.45 |  7.74 |     0 |     0 |       0 |
| G013.0082-0.1212 | 273.5864 | -17.7126 |   25 |   22 |  63 |   24 | 0.51 |  0.77 |   7.6 |     0 |     0 |       0 |
| G013.2151+0.0520 | 273.5307 | -17.4481 |   32 |   24 |  56 |   28 | 0.56 |  1.21 |  8.49 |     0 |     0 |       0 |
| G013.2505-0.0781 | 273.6682 | -17.4792 |   32 |   26 | 124 |   29 | 0.57 |  1.32 |  8.24 |     0 |     0 |       0 |
| G013.2826+0.2272 | 273.4033 | -17.3051 |   34 |   26 |  -4 |   30 | 0.53 |  1.28 |  7.81 |     0 |     0 |       0 |
| G013.6785-0.0514 | 273.8575 | -17.0904 |   31 |   19 | -22 |   24 | 0.56 |  0.91 |  7.63 |     0 |     0 |       0 |
| G013.9832-0.1445 | 274.0948 | -16.8668 |   27 |   22 |  79 |   24 | 1.02 |  1.63 | 13.36 |     0 |     0 |       0 |
| G014.0177-0.1603 | 274.1265 | -16.8439 |   31 |   23 | 112 |   26 |  0.6 |  1.14 |  8.76 |     0 |     0 |       0 |
| G014.1698-0.5027 | 274.5168 | -16.8727 |   32 |   19 | -22 |   25 | 0.55 |  0.93 |  7.95 |     0 |     0 |       0 |
| G014.1842-0.2280 | 274.2714 | -16.7297 |   45 |   25 | 110 |   34 | 0.65 |  1.98 |  8.88 |     0 |     0 |       0 |
| G014.2314-0.1758 | 274.2468 | -16.6633 |   42 |   22 |  52 |   30 | 0.56 |  1.39 |  8.73 |     0 |     0 |       0 |
| G014.3280-0.5328 | 274.6227 | -16.7475 |   30 |   23 |  14 |   26 | 0.92 |  1.71 | 12.55 |     0 |     0 |       0 |
| G014.3309-0.6514 | 274.7334 | -16.8011 |   23 |   19 |  -3 |   21 | 0.92 |  1.09 |  8.08 |     0 |     0 |       0 |
| G014.3604-0.6392 | 274.7367 | -16.7694 |   34 |   27 |  65 |   30 | 0.71 |  1.75 |  9.74 |     0 |     0 |       0 |
| G014.3848-0.1308 | 274.2815 |  -16.507 |   27 |   19 |  85 |   23 | 0.65 |  0.92 |  9.66 |     0 |     0 |       0 |
| G014.4172-0.1721 | 274.3354 |  -16.498 |   28 |   27 |  51 |   28 | 0.89 |  1.86 | 12.64 |     0 |     0 |       0 |
| G014.4515-0.1088 | 274.2944 | -16.4378 |   24 |   19 | 151 |   21 | 0.56 |  0.69 |  8.23 |     0 |     0 |       0 |
| G014.4683-0.0857 | 274.2814 |  -16.412 |   58 |   23 | 118 |   36 | 0.97 |  3.48 | 13.68 |     0 |     0 |       0 |
| G014.4696-0.6104 | 274.7641 | -16.6596 |   31 |   24 |  95 |   27 | 0.55 |   1.1 |  7.75 |     0 |     0 |       0 |
| G014.4876-0.1274 | 274.3293 | -16.4149 |   22 |   20 | -14 |   21 | 0.69 |  0.81 |  9.67 |     0 |     0 |       0 |
| G014.6256-0.5700 | 274.8039 |  -16.503 |   33 |   19 |  84 |   25 | 0.91 |  1.57 | 11.43 |     0 |     0 |       0 |
| G014.6858-0.2234 | 274.5153 |  -16.286 |   44 |   28 |  -5 |   35 | 0.67 |  2.25 |  9.93 |     0 |     0 |       0 |
| G014.7258-0.2031 | 274.5165 | -16.2411 |   50 |   24 | -26 |   35 | 0.56 |  1.84 |   8.6 |     0 |     0 |       0 |
| G015.0060+0.0090 | 274.4603 | -15.8938 |   29 |   28 |  29 |   28 | 0.74 |  1.62 | 11.68 |     0 |     0 |       0 |
| G015.0201-0.6201 | 275.0439 | -16.1789 |   28 |   28 |  38 |   28 | 2.31 |  4.95 | 22.43 |     0 |     0 |       0 |
| G015.0227-0.7074 | 275.1255 | -16.2177 |   43 |   24 |  77 |   32 | 0.82 |  2.26 |  7.19 |     0 |     0 |       0 |
| G015.0993-0.6744 | 275.1328 | -16.1346 |   32 |   32 |  53 |   32 | 0.59 |  1.64 |  6.59 |     0 |     0 |       0 |
| G015.1239-0.5584 | 275.0384 | -16.0583 |   44 |   26 | -16 |   34 | 0.55 |  1.75 |  7.51 |     0 |     0 |       0 |
| G015.2169-0.4267 | 274.9633 | -15.9141 |   25 |   21 | 102 |   23 | 0.53 |  0.76 |  5.86 |     0 |     0 |       0 |
| G015.2277-0.8391 | 275.3469 | -16.0989 |   38 |   21 |  70 |   28 | 0.72 |  1.54 |  7.58 |     0 |     0 |       0 |
| G015.2317-0.6097 | 275.1383 | -15.9874 |   36 |   24 | -24 |   30 | 0.84 |  1.99 |  8.74 |     0 |     0 |       0 |
| G015.2408-0.6084 | 275.1416 | -15.9788 |   26 |   22 |  46 |   24 | 0.52 |   0.8 |  5.17 |     0 |     0 |       0 |
| G015.2576-0.6158 | 275.1566 | -15.9675 |   47 |   29 | 141 |   37 | 0.64 |  2.38 |  5.77 |     0 |     0 |       0 |
| G015.5022-0.4201 |  275.097 | -15.6594 |   49 |   30 | 147 |   38 | 0.61 |  2.42 |  7.46 |     0 |     0 |       0 |
| G015.6570-0.4918 | 275.2384 | -15.5567 |   34 |   24 | 126 |   29 | 0.54 |  1.22 |  6.57 |     0 |     0 |       0 |
| G015.7173-0.5948 | 275.3622 |  -15.552 |   34 |   24 | 121 |   29 | 0.97 |  2.16 | 11.91 |     0 |     0 |       0 |
| G016.3013-0.5251 | 275.5829 | -15.0038 |   44 |   30 |  84 |   36 | 0.64 |  2.27 |  8.04 |     0 |     0 |       0 |
| G016.3017-0.1465 | 275.2375 | -14.8254 |   39 |   24 |  44 |   31 | 0.59 |   1.5 |  7.92 |     0 |     0 |       0 |
| G016.3274-0.1474 | 275.2508 | -14.8031 |   38 |   27 |  50 |   32 | 0.88 |  2.45 | 11.34 |     0 |     0 |       0 |
| G016.3365-0.5858 | 275.6556 | -15.0012 |   34 |   26 |  93 |   30 |  0.9 |   2.2 | 11.05 |     0 |     0 |       0 |
| G016.3744-0.2123 | 275.3329 | -14.7922 |   28 |   19 |  -9 |   23 | 0.79 |  1.15 | 11.05 |     0 |     0 |       0 |
| G016.4210-0.6344 |  275.741 | -14.9494 |   40 |   28 |   7 |   34 | 0.57 |  1.74 |  7.64 |     0 |     0 |       0 |
| G016.8897+0.4844 | 274.9493 | -14.0094 |   28 |   25 |  79 |   26 | 0.55 |  1.04 |  7.48 |     0 |     0 |       0 |
| G017.0658+0.8213 | 274.7292 |  -13.695 |   60 |   24 |  16 |   38 | 0.54 |  2.13 |  7.05 |     0 |     0 |       0 |
| G017.6101-0.7252 | 276.3985 |  -13.941 |   43 |   29 |  33 |   35 | 0.71 |  2.39 |  8.12 |     0 |     0 |       0 |
| G018.0641-0.3081 | 276.2371 | -13.3448 |   40 |   27 |  76 |   33 |  0.9 |  2.61 | 12.83 |     0 |     0 |       0 |
| G018.0982-0.3545 | 276.2956 | -13.3363 |   36 |   31 |  89 |   33 | 0.55 |  1.64 |   7.5 |     0 |     0 |       0 |
| G018.0986-0.3431 | 276.2854 | -13.3306 |   35 |   20 |  63 |   26 | 0.56 |  1.03 |  8.06 |     0 |     0 |       0 |
| G018.1042-0.3058 | 276.2542 | -13.3083 |   23 |   20 |  30 |   22 | 0.82 |  1.04 | 12.38 |     0 |     0 |       0 |
| G018.1750-0.2985 | 276.2816 | -13.2423 |   31 |   24 |  26 |   27 | 1.91 |  3.91 | 29.05 |     0 |     0 |       0 |
| G018.1985-0.1704 | 276.1766 | -13.1616 |   32 |   26 |  -2 |   29 |  0.7 |   1.6 |  11.3 |     0 |     0 |       0 |
| G018.2376-0.2494 |  276.267 |  -13.164 |   26 |   19 |  28 |   23 | 0.56 |  0.77 |  9.32 |     0 |     0 |       0 |
| G018.4522+0.0029 | 276.1411 | -12.8563 |   30 |   23 |  80 |   27 | 0.67 |  1.29 |  8.81 |     0 |     0 |       0 |
| G018.8008-0.2958 | 276.5789 | -12.6876 |   39 |   29 |  68 |   34 | 0.59 |   1.8 |  8.85 |     0 |     0 |       0 |
| G018.8229-0.0784 | 276.3924 | -12.5665 |   32 |   24 | 105 |   28 | 0.58 |  1.25 |  9.43 |     0 |     0 |       0 |
| G018.8441-0.3758 | 276.6721 | -12.6866 |   60 |   34 | -14 |   45 | 0.59 |  3.24 |  8.83 |     0 |     0 |       0 |
| G018.8621-0.4806 | 276.7757 | -12.7194 |   29 |   20 |  -8 |   24 |  0.7 |  1.09 | 10.19 |     0 |     0 |       0 |
| G018.8729+0.0539 | 276.2964 | -12.4605 |   37 |   27 |  81 |   32 | 0.63 |  1.69 |  8.46 |     0 |     0 |       0 |
| G018.8796-0.4703 | 276.7747 | -12.6992 |   26 |   19 |  92 |   22 |  0.7 |  0.96 |  9.03 |     0 |     0 |       0 |
| G018.8936-0.4839 | 276.7938 |  -12.693 |   26 |   25 |  45 |   25 | 0.77 |  1.36 | 10.73 |     0 |     0 |       0 |
| G018.9295-0.0289 | 276.3985 | -12.4492 |   48 |   37 |  17 |   42 | 0.61 |  2.92 |  9.15 |     0 |     0 |       0 |
| G019.0421-0.5603 | 276.9339 | -12.5972 |   42 |   23 | 123 |   31 | 0.54 |  1.41 |  7.32 |     0 |     0 |       0 |
| G019.0514-0.6011 | 276.9754 | -12.6079 |   44 |   23 | -21 |   32 | 0.55 |  1.51 |   7.2 |     0 |     0 |       0 |
| G019.0559-0.2092 | 276.6222 | -12.4215 |   38 |   28 | -37 |   33 |  0.8 |   2.3 | 12.12 |     0 |     0 |       0 |
| G019.0727-0.2984 | 276.7111 | -12.4482 |   27 |   19 | -12 |   23 | 0.59 |  0.84 |   8.1 |     0 |     0 |       0 |
| G019.0872-0.2884 | 276.7089 | -12.4307 |   43 |   23 | 151 |   31 | 0.71 |  1.89 | 10.66 |     0 |     0 |       0 |
| G019.3100-0.3778 | 276.8961 | -12.2751 |   25 |   22 | 131 |   24 | 0.59 |  0.89 | 10.09 |     0 |     0 |       0 |
| G019.5732-0.1006 | 276.7704 | -11.9132 |   38 |   26 | 100 |   31 | 0.59 |  1.58 |  9.46 |     0 |     0 |       0 |
| G019.5892-0.0799 | 276.7593 | -11.8894 |   35 |   26 | 121 |   30 | 0.54 |  1.32 |  8.37 |     0 |     0 |       0 |
| G019.6299-0.1623 | 276.8532 | -11.8917 |   28 |   21 |  85 |   24 | 0.52 |  0.83 |  8.27 |     0 |     0 |       0 |
| G020.3157+0.0787 | 276.9611 | -11.1725 |   48 |   24 | 117 |   34 | 0.78 |  2.39 | 13.15 |     0 |     0 |       0 |
| G020.3898-0.0189 | 277.0843 | -11.1523 |   36 |   25 |  -7 |   30 | 0.51 |  1.22 |  7.59 |     0 |     0 |       0 |
| G020.7683-0.0556 | 277.2965 | -10.8341 |   23 |   20 |  63 |   22 | 0.75 |  0.95 | 11.32 |     0 |     0 |       0 |
| G021.3385-0.1380 | 277.6397 | -10.3671 |   31 |   26 | -10 |   29 | 0.55 |  1.22 |  8.56 |     0 |     0 |       0 |
| G021.5627-0.1328 | 277.7405 | -10.1659 |   43 |   29 |  40 |   35 | 0.76 |  2.53 | 13.28 |     0 |     0 |       0 |
| G022.3685+0.3814 | 277.6566 |  -9.2137 |   46 |   39 |  65 |   42 | 0.67 |  3.22 | 12.32 |     0 |     0 |       0 |
| G022.5309-0.1927 | 278.2485 |   -9.335 |   42 |   23 |  42 |   31 | 0.76 |   2.0 | 12.27 |     0 |     0 |       0 |
| G022.5431-0.0208 | 278.0997 |  -9.2449 |   36 |   26 |  18 |   30 | 0.59 |  1.49 |  9.44 |     0 |     0 |       0 |
| G022.5483-0.5225 | 278.5532 |  -9.4718 |   38 |   27 | 141 |   32 |  1.3 |  3.68 | 19.06 |     0 |     0 |       0 |
