  Name                  nYSOs
  G309.5349-0.7409      3 
  G309.5419-0.7466      1 
  G309.8792+0.3941      0 
  G309.8899+0.3971      0 
  G309.9005+0.2306      1 
  G309.9113+0.3239      3 
  G309.9142+0.3124      1 
  G309.9162+0.4925      0 
  G309.9212+0.4779      0 
  G309.9336+0.3968      0 
  G309.9691+0.2997      5 
  G309.9806+0.5462      1 
  G309.9905+0.5079      7 
  G310.0135+0.3877      0 
  G310.0774-0.2288      1 
  G310.0894-0.2837      0 
  G310.1440+0.7592      0 
  G310.1462+0.7770      1 
  G310.1769-0.1155      3 
  G310.1808-0.1232      0 
  G310.3752-0.3049      1 
  G310.5143-0.2169      0 
  G310.5985+0.7244      1 
  G310.6447-0.4290      2 
  G310.6754-0.2336      3 
  G310.7540-0.5896      0 
  G310.8798+0.0046      0 
  G310.8884+0.0051      0 
  G310.9034-0.3808      0 
  G311.0345+0.3792      2 
  G311.0422+0.0724      1 
  G311.0440+0.6880      3 
  G311.1770-0.4014      0 
  G311.1772-0.0723      0 
  G311.2023+0.7226      0 
  G311.2293-0.0317      1 
  G311.3123-0.4872      1 
  G311.3860+0.6491      0 
  G311.4243+0.5963      0 
  G311.4254+0.3675      1 
  G311.4492+0.3790      1 
  G311.4659+0.3724      0 
  G311.4806+0.3612      0 
  G311.4903+0.4192      0 
  G311.4921+0.4034      1 
  G311.5119-0.4542      2 
  G311.5559+0.3308      1 
  G311.5638+0.2298      1 
  G311.5684+0.3190      3 
  G311.5926-0.4924      0 
  G311.6234+0.2979      0 
  G311.6261+0.2901      0 
  G311.6279+0.2654      2 
  G311.6378+0.2981      2 
  G311.6420-0.3802      1 
  G311.7549+0.0816      2 
  G311.7922-0.0173      1 
  G311.8919-0.2576      0 
  G311.8993+0.0838      0 
  G311.9244+0.2237      0 
  G311.9303+0.2070      0 
  G311.9343+0.2279      0 
  G311.9471+0.1417      1 
  G311.9792-0.9536      1 
  G312.0402+0.0825      0 
  G312.0703+0.0806      0 
  G312.0767+0.0650      0 
  G312.0913+0.0746      0 
  G312.0954+0.2777      1 
  G312.0989-0.2376      3 
  G312.1068+0.3085      0 
  G312.1091+0.2622      2 
  G312.1127+0.2758      2 
  G312.3060+0.6608      1 
  G312.3296-0.0875      1 
  G312.3824-0.4161      0 
  G312.4745-0.0562      2 
  G312.5377+0.0411      1 
  G312.5455-0.2809      0 
  G312.5882-0.5026      0 
  G312.5974+0.0444      0 
  G312.6830+0.0211      1 
  G313.0510-0.6873      1 
  G313.1308-0.6545      1 
  G313.2764-0.7113      3 
  G313.2888-0.3338      0 
  G313.3146-0.4626      0 
  G313.4577+0.1916      0 
  G313.4684+0.1902      1 
  G313.5763+0.3243      1 
  G313.6945+0.1019      0 
  G313.7057-0.1919      2 
  G313.7108-0.1754      0 
  G313.7427+0.1109      0 
  G313.7676-0.8633      4 
  G313.7744-0.8612      0 
  G313.9724+0.1997      1 
  G313.9924-0.0858      2 
  G314.0644+0.8294      2 
  G314.2018+0.2144      0 
  G314.2058+0.2048      2 
  G314.2156+0.2997      0 
  G314.2181+0.2522      0 
  G314.2189+0.2607      0 
  G314.2198+0.2707      1 
  G314.2339+0.3297      0 
  G314.2378+0.4171      0 
  G314.2409+0.3647      0 
  G314.2565+0.0989      0 
  G314.2589+0.4137      0 
  G314.2614+0.4043      0 
  G314.2621+0.0715      1 
  G314.2647+0.0906      1 
  G314.2753+0.0976      0 
  G314.3107+0.1164      0 
  G314.3196+0.1115      0 
  G314.3883+0.3474      0 
  G314.6634-0.1146      0 
  G314.9929+0.0944      0 
  G315.3280-0.2312      0 
  G315.4174-0.4574      1 
  G315.7998-0.3789      1 
  G316.0841-0.6739      1 
  G316.1403-0.5048      1 
  G316.3603-0.3630      0 
  G316.3693-0.3706      0 
  G316.3802-0.3764      0 
  G316.4045-0.4674      4 
  G316.4121-0.3094      3 
  G316.4504-0.6544      0 
  G316.5056+0.2144      1 
  G316.5318+0.1016      0 
  G316.5401-0.0211      0 
  G316.5869-0.8108      0 
  G316.6022+0.0450      2 
  G316.6403-0.0877      0 
  G316.6485-0.0930      2 
  G316.6768-0.1910      1 
  G316.7055-0.0069      2 
  G316.7186+0.0761      2 
  G316.7202+0.0945      3 
  G316.7239+0.0524      2 
  G316.7421+0.0302      0 
  G316.7544-0.0128      0 
  G316.7559-0.0585      0 
  G316.7591-0.0042      1 
  G316.7631-0.0119      2 
  G316.7675-0.0244      0 
  G316.7777-0.0962      0 
  G316.7784-0.0308      0 
  G316.7860-0.0378      0 
  G316.7884-0.0293      0 
  G316.7947-0.0481      0 
  G316.7985-0.0554      0 
  G316.8131-0.0589      0 
  G316.8133-0.0672      0 
  G316.8215-0.0587      0 
  G316.8285+0.1005      0 
  G316.9398+0.3031      0 
  G316.9588+0.3028      0 
  G317.0076+0.0471      0 
  G317.0277+0.0177      0 
  G317.0281+0.3621      0 
  G317.0614+0.2617      4 
  G317.2870+0.1934      0 
  G317.3398+0.1054      0 
  G317.3645+0.1283      0 
  G317.3887+0.1195      0 
  G317.4078+0.1101      0 
  G317.4285-0.5613      0 
  G317.4318-0.3739      1 
  G317.4400-0.3741      1 
  G317.4641-0.4039      2 
  G317.4661-0.5268      0 
  G317.4662-0.0670      4 
  G317.4741-0.5849      0 
  G317.5358-0.3895      0 
  G317.6985+0.1271      1 
  G317.7015+0.1093      1 
  G317.7479+0.0120      2 
  G317.8544+0.1619      0 
  G317.8601-0.2895      2 
  G317.8674-0.3089      0 
  G317.8680-0.1514      1 
  G317.8681+0.1521      0 
  G317.8744-0.2702      3 
  G317.8774-0.2538      6 
  G317.8777+0.1256      4 
  G317.8867-0.2536      7 
  G317.8884-0.0599      0 
  G317.9318-0.2011      1 
  G318.0385+0.0854      2 
  G318.0494+0.0861      1 
  G318.4486-0.2447      1 
  G318.4708-0.2141      1 
  G318.7208-0.7566      0 
  G318.7248-0.2237      0 
  G318.7762-0.1537      0 
  G318.7790-0.1376      1 
  G318.7834-0.1746      1 
  G318.9142-0.1645      0 
  G318.9471-0.1969      0 
  G319.0879+0.4592      0 
  G319.1507-0.4286      2 
  G319.1553-0.4143      1 
  G319.1606-0.4219      0 
  G319.1782-0.4105      2 
  G319.3238-0.1358      2 
  G319.3622+0.0125      0 
  G319.3861+0.8888      1 
  G319.3986-0.0131      0 
  G319.4513-0.0228      0 
  G319.7904-0.4596      0 
